year,seoul,gu,emd,pop_total,도로명,도로명_합
2018,서울특별시,강북구,송천동,1446387,삼양로54길,서울특별시강북구삼양로54길
2018,서울특별시,강북구,삼양동,2462570,삼양로41길,서울특별시강북구삼양로41길
2018,서울특별시,강북구,삼각산동,1860373,삼양로27길,서울특별시강북구삼양로27길
2018,서울특별시,강북구,송천동,1607454,삼양로24길,서울특별시강북구삼양로24길
2018,서울특별시,강북구,송천동,1304993,삼양로20길,서울특별시강북구삼양로20길
2018,서울특별시,강북구,수유3동,2991445,삼각산로28길,서울특별시강북구삼각산로28길
2018,서울특별시,강북구,수유3동,1537528,도봉로99길,서울특별시강북구도봉로99길
2018,서울특별시,강북구,송중동,1765634,도봉로8길,서울특별시강북구도봉로8길
2018,서울특별시,강북구,미아동,2295341,도봉로76길,서울특별시강북구도봉로76길
2018,서울특별시,강북구,미아동,1400842,도봉로67길,서울특별시강북구도봉로67길
2018,서울특별시,강북구,미아동,1884478,도봉로45길,서울특별시강북구도봉로45길
