기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,,,,,,,총_생활인구_수
2020,4,A,골목상권,1000827,장군봉1길,서울특별시 관악구 봉천동 930-35,,,,,,5938894
2020,4,A,골목상권,1000826,인헌길,서울특별시 관악구 봉천동 1656-23,,,,,,4808860
2020,4,A,골목상권,1000825,은천로25길,서울특별시 관악구 봉천동 466-76,,,,,,4575206
2020,4,A,골목상권,1000824,양녕로6길,서울특별시 관악구 봉천동 888-22,,,,,,8366240
2020,4,A,골목상권,1000823,신원로3길,서울특별시 관악구 신림동 1606-3,,,,,,7451742
2020,4,A,골목상권,1000822,신사로20길,서울특별시 관악구 신림동 475-43,,,,,,4276875
2020,4,A,골목상권,1000821,신림로65길,서울특별시 관악구 신림동 1432-86,,,,,,8183079
2020,4,A,골목상권,1000820,신림로64길,서울특별시 관악구 신림동 1421-63,,,,,,6112939
2020,4,A,골목상권,1000819,신림로48길,서울특별시 관악구 신림동 92-362,,,,,,3828049
2020,4,A,골목상권,1000818,신림로38길,서울특별시 관악구 신림동 94-259,,,,,,4998260
2020,4,A,골목상권,1000817,신림로28길,서울특별시 관악구 신림동 808-474,,,,,,5766857
2020,4,A,골목상권,1000816,신림로11길,서울특별시 관악구 신림동 241-58,,,,,,5284767
2020,4,A,골목상권,1000815,신림동길,서울특별시 관악구 신림동 1431-41,,,,,,8219067
2020,4,A,골목상권,1000814,승방길,서울특별시 관악구 남현동 602-10 우남빌딩,,,,,,4810476
2020,4,A,골목상권,1000813,서림7길,서울특별시 관악구 신림동 103-300 태경독서실,,,,,,4252672
2020,4,A,골목상권,1000812,봉천로33길,서울특별시 관악구 봉천동 924-24,,,,,,7728186
2020,4,A,골목상권,1000811,봉천로13길,서울특별시 관악구 봉천동 970-3,,,,,,5030943
2020,4,A,골목상권,1000810,복은길,서울특별시 관악구 신림동 107-14,,,,,,5497059
2020,4,A,골목상권,1000809,법원단지길,서울특별시 관악구 신림동 614-17,,,,,,4869522
2020,4,A,골목상권,1000808,법원단지9길,서울특별시 관악구 신림동 611-4,,,,,,5316286
2020,4,A,골목상권,1000807,미성5길,서울특별시 관악구 신림동 730-6,,,,,,4578603
2020,4,A,골목상권,1000806,대학길,서울특별시 관악구 신림동 1516-4,,,,,,5845732
2020,4,A,골목상권,1000805,대학14길,서울특별시 종로구 혜화동 163-27 윤서빌딩,,,,,,4382152
2020,4,A,골목상권,1000804,당곡길,서울특별시 관악구 봉천동 971-17,,,,,,4135775
2020,4,A,골목상권,1000803,남현길,서울특별시 관악구 남현동 1058-5,,,,,,6284916
2020,4,A,골목상권,1000802,남현3길,서울특별시 관악구 남현동 1066-6,,,,,,6471707
2020,4,A,골목상권,1000801,남현2길,서울특별시 관악구 남현동 1057-21,,,,,,7892653
2020,4,A,골목상권,1000800,남부순환로248길,서울특별시 관악구 봉천동 1656-2,,,,,,4581013
2020,4,A,골목상권,1000799,남부순환로234길,서울특별시 관악구 봉천동 1664-15,,,,,,4117127
2020,4,A,골목상권,1000798,남부순환로172길,서울특별시 관악구 신림동 1586-1,,,,,,5929340
2020,4,A,골목상권,1000797,남부순환로161길,서울특별시 관악구 신림동 487-3,,,,,,5592299
2020,4,A,골목상권,1000796,남부순환로151길,서울특별시 관악구 신림동 507-33,,,,,,5068009
2020,4,A,골목상권,1000795,남부순환로142길,서울특별시 관악구 신림동 1484-5,,,,,,3828944
2020,4,A,골목상권,1000794,난향길,서울특별시 관악구 신림동 668-4,,,,,,1356338
2020,4,A,골목상권,1000793,난우길,서울특별시 관악구 신림동 617-3 프린스빌딩,,,,,,5448224
2020,4,A,골목상권,1000792,난곡로74길,서울특별시 관악구 신림동 516-30,,,,,,4940549
2020,4,A,골목상권,1000791,난곡로34길,서울특별시 관악구 신림동 617-9,,,,,,4653309
2020,4,A,골목상권,1000790,난곡로26길,서울특별시 관악구 신림동 635-7,,,,,,3704027
2020,4,A,골목상권,1000789,난곡로24길,서울특별시 관악구 신림동 637-4,,,,,,2822558
2020,4,A,골목상권,1000788,낙성대역길,서울특별시 관악구 봉천동 1660-6,,,,,,5699120
2020,4,A,골목상권,1000787,국회단지길,서울특별시 관악구 봉천동 940-21 훼미리아빌라,,,,,,5902205
2020,4,A,골목상권,1000786,구암길,서울특별시 관악구 봉천동 483-3 서울구암초등학교,,,,,,3542114
2020,4,A,골목상권,1000785,관천로22길,서울특별시 관악구 신림동 1709-3 보라매아파트,,,,,,6613517
2020,4,A,골목상권,1000784,관천로15길,서울특별시 관악구 신림동 462-4,,,,,,6482728
2020,4,A,골목상권,1000783,관악로30길,서울특별시 관악구 봉천동 37-31,,,,,,5251972
2020,4,A,골목상권,1000782,관악로28길,서울특별시 관악구 봉천동 36-53,,,,,,5042344
2020,4,A,골목상권,1000781,관악로14길,서울특별시 관악구 봉천동 855-10,,,,,,6663415
2020,4,A,골목상권,1000780,관악로10길,서울특별시 관악구 봉천동 1597-25 경하아트빌라,,,,,,5121200
2020,4,A,골목상권,1000779,흑석로9길,서울특별시 동작구 흑석동 190-84,,,,,,2322340
2020,4,A,골목상권,1000778,흑석로13길,서울특별시 동작구 흑석동 180-11,,,,,,2270157
2020,4,A,골목상권,1000777,장승배기로27길,서울특별시 동작구 노량진동 240-62,,,,,,4587594
2020,4,A,골목상권,1000776,장승배기로19길,서울특별시 동작구 노량진동 306-5,,,,,,4576715
2020,4,A,골목상권,1000775,장승배기로10길,서울특별시 동작구 상도동 179-11,,,,,,4457189
2020,4,A,골목상권,1000774,여의대방로46길,서울특별시 동작구 대방동 353-18 르미에 빌딩,,,,,,2883138
2020,4,A,골목상권,1000773,여의대방로24길,서울특별시 동작구 대방동 407-10,,,,,,3608250
2020,4,A,골목상권,1000772,여의대방로22카길,서울특별시 동작구 신대방동 360-159,,,,,,4349060
2020,4,A,골목상권,1000771,여의대방로22나길,서울특별시 동작구 신대방동 367-81,,,,,,2522283
2020,4,A,골목상권,1000770,여의대방로22길,서울특별시 동작구 신대방동 375-15 동일빌딩,,,,,,3283028
2020,4,A,골목상권,1000769,양녕로26길,서울특별시 동작구 상도동 210-385,,,,,,3553435
2020,4,A,골목상권,1000768,신대방길,서울특별시 동작구 신대방동 618-16,,,,,,3526296
2020,4,A,골목상권,1000767,성대로29길,서울특별시 동작구 상도동 235-37 상현빌딩,,,,,,5359669
2020,4,A,골목상권,1000766,성대로1길,서울특별시 동작구 상도동 242-79,,,,,,4778064
2020,4,A,골목상권,1000765,서달로8가길,서울특별시 동작구 흑석동 93-196,,,,,,3517018
2020,4,A,골목상권,1000764,서달로15길,서울특별시 동작구 흑석동 105 흑석동유수지공영주차장,,,,,,1916837
2020,4,A,골목상권,1000763,서달로14길,서울특별시 동작구 흑석동 52-26,,,,,,2437317
2020,4,A,골목상권,1000762,서달로10길,서울특별시 동작구 흑석동 86-81,,,,,,4028611
2020,4,A,골목상권,1000761,상도로62길,서울특별시 동작구 상도동 471-4,,,,,,5094385
2020,4,A,골목상권,1000760,상도로61길,서울특별시 동작구 상도동 501-3,,,,,,3794154
2020,4,A,골목상권,1000759,상도로47길,서울특별시 동작구 상도1동 335-9,,,,,,4441714
2020,4,A,골목상권,1000758,상도로37길,서울특별시 동작구 상도1동 666-5 라미재,,,,,,4278062
2020,4,A,골목상권,1000757,상도로15길,서울특별시 동작구 상도동 348-147,,,,,,5842651
2020,4,A,골목상권,1000756,사당로8길,서울특별시 동작구 사당동 246-11,,,,,,5636800
2020,4,A,골목상권,1000755,사당로30길,서울특별시 동작구 사당동 147-61 모텔코자자,,,,,,3806771
2020,4,A,골목상권,1000754,사당로2차길,서울특별시 동작구 사당동 202-28,,,,,,2784335
2020,4,A,골목상권,1000753,사당로29길,서울특별시 동작구 사당동 150-9,,,,,,4769628
2020,4,A,골목상권,1000752,사당로26길,서울특별시 동작구 사당동 1004-1,,,,,,5088744
2020,4,A,골목상권,1000751,사당로23나길,서울특별시 동작구 사당동 164-65,,,,,,2616586
2020,4,A,골목상권,1000750,사당로23길,서울특별시 동작구 사당동 155-2,,,,,,3041006
2020,4,A,골목상권,1000749,사당로20길,서울특별시 동작구 사당동 321-80,,,,,,5392393
2020,4,A,골목상권,1000748,사당로16길,서울특별시 동작구 사당동 318-13,,,,,,6850455
2020,4,A,골목상권,1000747,사당로16가길,서울특별시 동작구 사당동 265-46,,,,,,5407991
