No,구,동,전용면적,년,월,거래금액(,면적금액,층,건축년도,도로명,경도,위도,상태
1197,서초구,방배동,39.31,2019,5,40000,1018,8,2004,서초구 방배로33길 29,126.989270888299,37.4912427838776,정좌표
1198,서초구,방배동,84.55,2019,4,118000,1396,23,2006,서초구 동작대로 112,126.982711405141,37.4865136584702,정좌표
1199,서초구,방배동,84.959,2019,6,125000,1471,3,2005,서초구 서초대로1길 2,126.983334724775,37.4866470830712,정좌표
1200,서초구,방배동,133.31,2019,7,161000,1208,11,2001,서초구 방배로 239,126.989190661251,37.4939904084552,정좌표
1201,서초구,방배동,158.82,2019,7,162000,1020,3,2001,서초구 방배로 249,126.988472963849,37.495347272107,정좌표
1202,서초구,방배동,254.45,2019,6,119000,468,3,1993,서초구 명달로 5-121,127.005187571737,37.4787140130205,정좌표
1203,서초구,방배동,157.02,2019,11,101000,643,4,2008,서초구 서초대로23길 31,126.991894935442,37.4886840540759,정좌표
1204,서초구,방배동,116.48,2019,7,85000,730,4,2003,서초구 동광로8길 13,126.985689044017,37.4901320941728,정좌표
1205,서초구,방배동,191.297,2019,5,230000,1202,6,2005,서초구 서초대로 156,126.999483778424,37.488664710385,정좌표
1206,서초구,방배동,163.39,2019,9,185000,1132,4,2012,서초구 방배로32길 103-8,126.997297077314,37.4930967823267,정좌표
1207,서초구,서초동,114.05,2019,5,93000,815,4,2004,서초구 명달로22길 42,127.006524002812,37.4864960906216,정좌표
1208,서초구,서초동,20.344,2019,6,22000,1081,6,2014,서초구 효령로77길 30,127.029109021447,37.4917102470243,정좌표
1209,서초구,서초동,27.64,2019,9,42000,1520,8,2014,서초구 강남대로55길 9-7,127.027596528085,37.4954448511913,정좌표
1210,서초구,서초동,84.43,2019,5,100000,1184,15,2005,서초구 강남대로 455,127.024543878495,37.5028598002718,정좌표
1211,서초구,서초동,142.93,2019,4,120000,840,4,2001,서초구 명달로22길 45,127.006665232336,37.4869507855798,정좌표
1212,서초구,서초동,136.224,2019,5,140000,1028,5,2005,서초구 남부순환로323길 56-18,127.014697006918,37.4834597314585,정좌표
1213,서초구,서초동,84.95,2019,1,108000,1271,4,2006,서초구 반포대로10길 42,127.014176508129,37.4838169648243,정좌표
1214,서초구,서초동,106.11,2019,1,84000,792,2,1997,서초구 명달로8길 11,127.005730084791,37.4818823139003,정좌표
1215,서초구,서초동,81.065,2019,4,90000,1110,4,2006,서초구 효령로67길 35,127.02284999014,37.489023868046,정좌표
1216,서초구,서초동,244.19,2019,8,172000,704,10,1999,서초구 서리풀8길 11,127.020458393701,37.4898895855517,정좌표
1217,서초구,서초동,83.113,2019,10,73500,884,2,2007,서초구 남부순환로317길 68,127.010632861094,37.4827015084667,정좌표
1218,서초구,서초동,49.79,2019,4,45500,914,13,2003,서초구 서초중앙로22길 25,127.01543048185,37.4934678379413,정좌표
1219,서초구,서초동,84.991,2019,6,124000,1459,11,2004,서초구 서초대로64길 36,127.020812030989,37.4938514145515,정좌표
1220,서초구,서초동,205.195,2019,8,215000,1048,1,2005,서초구 효령로46길 21,127.009793597853,37.4827229068492,정좌표
1221,서초구,서초동,219.44,2019,1,230000,1048,8,2005,서초구 명달로 91,127.003298015448,37.4851282786545,정좌표
1222,서초구,서초동,152.99,2019,3,159000,1039,23,2006,서초구 서초중앙로2길 21,127.018368153392,37.4843310467152,정좌표
1223,서초구,서초동,171.036,2019,3,180000,1052,8,2005,서초구 반포대로7길 45,127.009477585803,37.481859624013,정좌표
