,cafe,gu_cd,gu,emd_cd,emd,gibun,road,lng,lat,year
83,빽다방,11290,성북구,1129013400,길음동,서울특별시 성북구 길음동 1276,서울특별시 성북구 동소문로 248,127.0235872,37.60291588,2018
84,빽다방,11290,성북구,1129013600,하월곡동,서울특별시 성북구 하월곡동 16-7,서울특별시 성북구 화랑로 91,127.0420917,37.60297742,2018
85,빽다방종암사거리점,11290,성북구,1129013500,종암동,서울특별시 성북구 종암동 132,서울특별시 성북구 종암로 132,127.0334984,37.6019072,2018
86,빽다방장한평역점,11230,동대문구,1123010600,장안동,서울특별시 동대문구 장안동 433-22,서울특별시 동대문구 천호대로85길 7,127.066018,37.56249602,2018
87,빽다방,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 100-5,서울특별시 성북구 인촌로 99-7,127.0301397,37.58670612,2018
88,빽다방을지로입구역점,11140,중구,1114010200,다동,서울특별시 중구 다동 116,서울특별시 중구 남대문로9길 10,126.9818706,37.56679211,2018
89,빽다방,11710,송파구,1171011300,거여동,서울특별시 송파구 거여동 36-6,서울특별시 송파구 오금로 515,127.1461442,37.49315353,2018
90,빽다방중랑역동부시장점,11260,중랑구,1126010200,상봉동,서울특별시 중랑구 상봉동 130-130,서울특별시 중랑구 망우로32길 14,127.0764142,37.59323141,2018
91,빽다방,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7,서울특별시 송파구 올림픽로35길 104,127.099289,37.51981032,2018
92,빽다방이대정문점,11410,서대문구,1141011200,대현동,서울특별시 서대문구 대현동 56-122,서울특별시 서대문구 이화여대길 55,126.9453944,37.55907437,2018
93,빽다방종로관철점,11110,종로구,1111013500,관철동,서울특별시 종로구 관철동 42-4,서울특별시 종로구 종로10길 21,126.9845236,37.56898647,2018
94,빽다방서울과기대점,11350,노원구,1135010300,공릉동,서울특별시 노원구 공릉동 441-1,서울특별시 노원구 공릉로 217,127.0770973,37.62868373,2018
95,빽다방고속터미널지하점,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 19-11,서울특별시 서초구 신반포로 188,127.0048767,37.50343736,2018
96,명지대빽다방,11410,서대문구,1141011800,홍은동,서울특별시 서대문구 홍은동 409-37,서울특별시 서대문구 거북골로 19,126.925248,37.58031935,2018
97,빽다방,11560,영등포구,1156011300,당산동3가,서울특별시 영등포구 당산동3가 378,서울특별시 영등포구 당산로 113,126.8961092,37.52487091,2018
98,빽다방,11560,영등포구,1156011600,당산동6가,서울특별시 영등포구 당산동6가 220,서울특별시 영등포구 양평로 28-1,126.9032122,37.53348798,2018
99,빽다방,11530,구로구,1153010800,오류동,서울특별시 구로구 오류동 306-4,서울특별시 구로구 오리로 1149,126.8382361,37.48658925,2018
100,빽다방구로시장점,11530,구로구,1153010200,구로동,서울특별시 구로구 구로동 313-5,서울특별시 구로구 구로동로26길 125,126.8910384,37.48987193,2018
101,빽다방,11710,송파구,1171010900,장지동,서울특별시 송파구 장지동 894,서울특별시 송파구 위례광장로 136,127.1422226,37.47711321,2018
102,빽다방총신대입구역점,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 1778,서울특별시 서초구 동작대로 128,126.982592,37.48788458,2018
103,빽다방태평로점,11140,중구,1114011400,태평로2가,서울특별시 중구 태평로2가 68-1,서울특별시 중구 세종대로 82,126.977061,37.56338965,2018
104,빽다방신림역2호점,11620,관악구,1162010200,신림동,서울특별시 관악구 신림동 1641-12,서울특별시 관악구 신림로 322,126.9300815,37.4829605,2018
105,빽다방,11470,양천구,1147010200,목동,서울특별시 양천구 목동 917-9,서울특별시 양천구 목동동로 293,126.8757526,37.5281659,2018
106,빽다방,11590,동작구,1159010200,상도동,서울특별시 동작구 상도동 322-17,서울특별시 동작구 국사봉1길 28,126.9300694,37.49887292,2018
107,빽다방,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 208-1,서울특별시 송파구 마천로 25,127.123888,37.50967823,2018
108,빽다방이태원점,11170,용산구,1117013000,이태원동,서울특별시 용산구 이태원동 66-8,서울특별시 용산구 보광로59길 37,126.9918575,37.53380046,2018
109,빽다방청량리역점,11230,동대문구,1123010700,청량리동,서울특별시 동대문구 청량리동 261,서울특별시 동대문구 왕산로 209,127.0458496,37.58096836,2018
110,빽다방구로디지털역점,11530,구로구,1153010200,구로동,서울특별시 구로구 구로동 1124-72,서울특별시 구로구 디지털로32길 79,126.8997365,37.48354681,2018
111,빽다방,11470,양천구,1147010200,목동,서울특별시 양천구 목동 602-1,서울특별시 양천구 공항대로 564,126.8678561,37.54908463,2018
112,빽다방망원시장점,11440,마포구,1144012300,망원동,서울특별시 마포구 망원동 375-8,서울특별시 마포구 월드컵로13길 34,126.9082408,37.55564608,2018
113,빽다방,11500,강서구,1150010300,화곡동,서울특별시 강서구 화곡동 341-96,서울특별시 강서구 강서로 48,126.8467163,37.53219287,2018
114,빽다방,11380,은평구,1138011400,진관동,서울특별시 은평구 진관동 73,서울특별시 은평구 진관2로 15-8,126.9195381,37.63538328,2018
115,빽다방노원역북부점,11350,노원구,1135010500,상계동,서울특별시 노원구 상계동 593-1,서울특별시 노원구 상계로3길 21,127.0622603,37.65720166,2018
116,빽다방신사역점,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 535-7,서울특별시 강남구 도산대로11길 34,127.0225229,37.51972256,2018
117,빽다방,11140,중구,1114016200,신당동,서울특별시 중구 신당동 374-10,서울특별시 중구 다산로 131,127.0108145,37.55569403,2018
118,빽다방,11230,동대문구,1123010100,신설동,서울특별시 동대문구 신설동 98-27,서울특별시 동대문구 왕산로 20,127.025782,37.57616407,2018
119,빽다방사가정역점,11260,중랑구,1126010100,면목동,서울특별시 중랑구 면목동 459-9,서울특별시 중랑구 면목로 330-1,127.0886963,37.58149614,2018
120,빽다방,11500,강서구,1150010500,마곡동,서울특별시 강서구 마곡동 757-3,서울특별시 강서구 마곡중앙5로1길 20,126.826526,37.56863893,2018
121,빽다방명동중앙우체,11140,중구,1114012700,명동2가,서울특별시 중구 명동2가 101-3,서울특별시 중구 남대문로 58-1,126.9818508,37.56242189,2018
122,더본코리아_빽다방성수역,11200,성동구,1120011500,성수동2가,서울특별시 성동구 성수동2가 289-10,서울특별시 성동구 성수이로 113,127.0571136,37.54513411,2018
123,더본코리아_빽다방등촌,11500,강서구,1150010200,등촌동,서울특별시 강서구 등촌동 696,서울특별시 강서구 공항대로41길 51,126.8457637,37.56022374,2018
124,역전우동앤빽다방대학로,11110,종로구,1111016900,혜화동,서울특별시 종로구 혜화동 167-3,서울특별시 종로구 대학로 143,127.0012914,37.58402373,2018
125,빽다방잠실장미상가,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7,서울특별시 송파구 올림픽로35길 104,127.099289,37.51981032,2018
126,빽다방,11500,강서구,1150010500,마곡동,서울특별시 강서구 마곡동 793-9,서울특별시 강서구 강서로 395,126.8385976,37.56104549,2018
127,빽다방,11620,관악구,1162010200,신림동,서울특별시 관악구 신림동 518-36,서울특별시 관악구 난곡로 363,126.9134456,37.48632277,2018
128,빽다방,11410,서대문구,1141011800,홍은동,서울특별시 서대문구 홍은동 409-37,서울특별시 서대문구 거북골로 19,126.925248,37.58031935,2018
129,빽다방,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 644,서울특별시 송파구 법원로11길 11,127.1184237,37.48475927,2018
0,빽다방커피,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1671-5,서울특별시 서초구 서초중앙로22길 25,127.0154469,37.49346116,2019
1,빽다방외대역점,11230,동대문구,1123011000,이문동,서울특별시 동대문구 이문동 305-152,서울특별시 동대문구 휘경로 17,127.0621597,37.59577708,2019
