year,road_nm,pop_total,gu,emd
2020,경인로31길,3056277,구로구,개봉동
2020,경인로15길,3237607,구로구,오류동
2020,개봉로3길,2420744,구로구,개봉동
2020,개봉로2길,2728735,구로구,개봉동
2020,개봉로23가길,2780040,구로구,개봉동
2020,개봉로20길,2855105,구로구,개봉동
2020,개봉로1길,1701302,구로구,개봉동
2020,개봉로17다길,4132008,구로구,개봉동
2020,개봉로17길,3591216,구로구,개봉동
2020,개봉로11길,3746559,구로구,개봉동
2020,화곡로64길,4136087,강서구,등촌동
2020,화곡로59길,2656569,강서구,화곡동
2020,화곡로44나길,4154079,강서구,화곡동
2020,화곡로31길,6124473,강서구,화곡동
2020,화곡로20길,6127188,강서구,화곡동
2020,화곡로13길,4604630,강서구,화곡동
2020,초원로16길,4176291,강서구,방화동
2020,초록마을로8길,6618745,강서구,화곡동
2020,초록마을로3길,4941471,강서구,화곡동
2020,월정로20길,7711375,강서구,화곡동
2020,우장산로6길,4071965,강서구,내발산동
2020,양천로73가길,4819294,강서구,염창동
2020,양천로71길,4448257,강서구,염창동
2020,양천로49길,1059284,강서구,가양동
2020,양천로26길,1905745,강서구,방화동
2020,양천로24길,4728296,강서구,방화동
2020,양천로24가길,4528069,강서구,방화동
2020,양천로14길,4699059,강서구,방화동
2020,방화대로6라길,1475205,강서구,공항동
2020,방화대로21길,2722701,강서구,공항동
2020,등촌로5길,4859479,강서구,화곡동
2020,등촌로55길,3412643,강서구,등촌동
2020,등촌로51길,3786103,강서구,등촌동
2020,등촌로39길,3255050,강서구,등촌동
2020,등촌로13길,5060090,강서구,화곡동
2020,남부순환로11길,2925925,강서구,공항동
2020,까치산로4길,7887616,강서구,화곡동
2020,국회대로7길,5009798,강서구,화곡동
2020,공항대로8길,3211315,강서구,공항동
2020,공항대로61길,4704003,강서구,염창동
2020,공항대로59다길,5882361,강서구,등촌동
2020,공항대로59길,4868032,강서구,등촌동
2020,공항대로55길,3616575,강서구,등촌동
2020,공항대로42길,2824413,강서구,내발산동
2020,공항대로38길,2071992,강서구,내발산동
2020,곰달래로60길,4504685,강서구,화곡동
2020,곰달래로53길,4568234,강서구,화곡동
2020,곰달래로47길,5106728,강서구,화곡동
2020,곰달래로31길,6253337,강서구,화곡동
2020,곰달래로25길,8829457,강서구,화곡동
2020,개화동로25길,3504074,강서구,방화동
2020,개화동로23길,4446342,강서구,방화동
2020,강서로8길,9460521,강서구,화곡동
2020,강서로5라길,5085993,강서구,화곡동
2020,강서로5나길,9236295,강서구,화곡동
2020,강서로5가길,11018957,강서구,화곡동
2020,강서로47라길,4432121,강서구,내발산동
2020,강서로47길,5025969,강서구,내발산동
2020,강서로45다길,4932530,강서구,화곡동
2020,강서로45길,3532428,강서구,화곡동
2020,강서로35길,5277634,강서구,화곡동
2020,강서로29길,7502285,강서구,화곡동
2020,강서로18길,9230059,강서구,화곡동
2020,강서로17가길,7111482,강서구,화곡동
2020,강서로15길,13664001,강서구,화곡동
2020,가로공원로80길,6275145,강서구,화곡동
2020,가로공원로76가길,7334531,강서구,화곡동
2020,화곡로4길,2286824,양천구,신월동
2020,화곡로3길,1540338,양천구,신월동
2020,지양로7길,2166175,양천구,신월동
2020,중앙로55길,5329702,양천구,신월동
2020,중앙로51길,5745879,양천구,신월동
2020,중앙로47길,4659542,양천구,신정동
2020,중앙로45길,5175984,양천구,신정동
2020,중앙로36길,3019040,양천구,신정동
2020,중앙로32길,2967175,양천구,신정동
2020,중앙로25길,3381059,양천구,신정동
2020,은행정로7길,5686572,양천구,신정동
2020,은행정로5길,3475744,양천구,신정동
2020,오목로5길,5753711,양천구,신월동
2020,오목로3길,5423986,양천구,신월동
2020,오목로30길,6826171,양천구,신정동
2020,오목로23길,6444486,양천구,신정동
2020,신월로20길,3997070,양천구,신월동
2020,신월로15길,5269507,양천구,신월동
2020,신목로6길,5323727,양천구,신정동
2020,신목로5길,3233183,양천구,신정동
2020,신목로2길,4079380,양천구,신정동
2020,목동중앙서로8가길,3495398,양천구,목동
2020,목동중앙서로7길,6098919,양천구,목동
2020,목동중앙북로8길,4486226,양천구,목동
2020,목동중앙북로16길,4380679,양천구,목동
2020,목동중앙본로7길,7508133,양천구,목동
2020,목동중앙로3길,5753481,양천구,목동
2020,목동중앙로13나길,729537,양천구,목동
2020,목동중앙남로3가길,6179771,양천구,목동
2020,목동로9길,4908206,양천구,신정동
2020,목동로19길,5430469,양천구,신정동
2020,목동동로8길,1931762,양천구,신정동
2020,목동동로12길,4946647,양천구,목동
2020,목동남로4길,2006942,양천구,신정동
2020,남부순환로88길,1584333,양천구,신정동
2020,남부순환로79길,2875635,양천구,신월동
2020,남부순환로70길,3432908,양천구,신월동
2020,남부순환로58길,3025561,양천구,신월동
2020,남부순환로40길,3188380,양천구,신월동
2020,남부순환로33길,3986121,양천구,신월동
2020,곰달래로5길,4713977,양천구,신월동
2020,곰달래로3길,4605293,양천구,신월동
2020,곰달래로2길,3383883,양천구,신월동
2020,곰달래로10길,5977201,양천구,신월동
2020,가로공원로58길,2394028,양천구,신월동
2020,효창원로93길,6672744,마포구,공덕동
2020,토정로37길,6151733,마포구,용강동
2020,월드컵로8길,5367160,마포구,서교동
2020,월드컵로7길,5525760,마포구,합정동
2020,월드컵로36길,5155802,마포구,성산동
2020,월드컵로25길,6696110,마포구,망원동
2020,월드컵로19길,5897331,마포구,망원동
2020,월드컵로16길,6059174,마포구,서교동
2020,월드컵로11길,6095434,마포구,망원동
2020,월드컵로10길,5912579,마포구,서교동
2020,와우산로3길,3223954,마포구,상수동
2020,와우산로29길,3811583,마포구,서교동
2020,와우산로29가길,3295974,마포구,서교동
2020,양화진길,2815398,마포구,합정동
2020,양화로1길,4196296,마포구,합정동
2020,양화로11길,4591935,마포구,서교동
2020,신촌로30길,4412332,마포구,아현동
2020,신촌로28가길,4240909,마포구,아현동
2020,신촌로12길,5483784,마포구,동교동
2020,숭문길,4038542,마포구,염리동
2020,숭문2길,3819384,마포구,염리동
2020,성지3길,2560885,마포구,합정동
2020,성산로4길,5421027,마포구,성산동
2020,성미산로32길,4632708,마포구,연남동
2020,성미산로1길,6664300,마포구,성산동
2020,성미산로11길,4218198,마포구,성산동
2020,백범로16길,6257931,마포구,대흥동
2020,방울내로9안길,6180687,마포구,망원동
2020,모래내로7길,4053898,마포구,성산동
2020,매봉산로2길,2418906,마포구,상암동
2020,망원로2길,6330605,마포구,망원동
2020,망원로11길,6993572,마포구,망원동
2020,만리재옛길,7376074,마포구,공덕동
2020,마포대로4길,4399330,마포구,마포동
2020,마포대로20길,5114806,마포구,아현동
2020,마포대로12길,5579792,마포구,공덕동
2020,동교로38길,5521935,마포구,연남동
2020,동교로27길,6335970,마포구,동교동
2020,동교로25길,4561286,마포구,동교동
2020,동교로19길,4579223,마포구,서교동
2020,동교로17길,5388848,마포구,서교동
2020,독막로8길,3021029,마포구,합정동
2020,독막로32길,5969261,마포구,신수동
2020,독막로22길,2932267,마포구,창전동
2020,도화길,5129955,마포구,도화동
2020,도화4길,5412520,마포구,도화동
2020,대흥로28길,4414190,마포구,대흥동
2020,대흥로21길,6717283,마포구,대흥동
2020,광성로6길,4365241,마포구,신수동
2020,구,2276100,서대문,
2020,구,3743148,서대문,
2020,구,4132150,서대문,
2020,구,5172229,서대문,
2020,구,2508500,서대문,
2020,구,3280724,서대문,
2020,구,9793865,서대문,
2020,구,5944532,서대문,
2020,구,9905648,서대문,
2020,구,7813687,서대문,
2020,구,5843710,서대문,
2020,구,6423172,서대문,
2020,구,2565145,서대문,
2020,구,15730058,서대문,
2020,구,3376016,서대문,
2020,구,5607331,서대문,
2020,구,5114271,서대문,
2020,구,4733543,서대문,
2020,구,17164373,서대문,
2020,구,4681606,서대문,
2020,구,5764405,서대문,
2020,구,6047071,서대문,
2020,구,4725556,서대문,
2020,통일로92길,6486297,은평구,불광동
2020,통일로87길,7669110,은평구,갈현동
2020,통일로78길,4990293,은평구,불광동
2020,통일로69길,6312819,은평구,대조동
2020,진흥로1길,9643258,은평구,역촌동
2020,진흥로12길,7623067,은평구,녹번동
2020,증산서길,2869302,은평구,수색동
2020,증산로9길,3457389,은평구,증산동
2020,증산로5길,2948845,은평구,증산동
2020,증산로21길,8294209,은평구,신사동
2020,증산로17길,4797080,은평구,신사동
2020,증산로15길,3947315,은평구,신사동
2020,증산로13길,6000625,은평구,증산동
2020,응암로34길,7629533,은평구,응암동
2020,응암로22길,5896703,은평구,응암동
2020,응암로14길,5857997,은평구,응암동
2020,응암로13길,5876288,은평구,응암동
2020,응암로12길,5785862,은평구,응암동
2020,은평로8길,9235381,은평구,응암동
2020,은평로3길,8172378,은평구,신사동
2020,은평로20길,2628113,은평구,응암동
2020,은평로13길,5896946,은평구,응암동
2020,은평로10길,5352691,은평구,응암동
2020,연서로5길,7664134,은평구,역촌동
2020,연서로41길,4668163,은평구,불광동
