상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,bus_cnt,HubName,HubDist,star,coffee,paul,mega,com,paik,high,low,total
25274618,스타벅스,11710,송파구,1171010400,송파동,서울특별시 송파구 송파동 96-7,서울특별시 송파구 송파대로,127.1103348,37.50226933,2020,2,석촌역,127.5640618,33,17,1,8,6,10,51,24,75
25808541,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1303-16,서울특별시 서초구 서초대로77길,127.0238869,37.50272196,2020,4,신논현역,842.5284559,45,34,9,5,1,9,88,15,103
20088322,스타벅스,11290,성북구,1129010200,성북동1가,서울특별시 성북구 성북동1가 35-1,서울특별시 성북구 성북로,127.0049043,37.58904601,2020,5,한성대입구역,252.4509408,15,3,0,10,0,7,18,17,35
11765466,스타벅스,11680,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 157-36,서울특별시 강남구 테헤란로,127.0574281,37.50756271,2020,3,봉은사역,951.9492086,87,79,15,7,5,11,181,23,204
16308823,스타벅스,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 599,서울특별시 강남구 남부순환로,127.0626465,37.49456594,2020,5,대치역,54.23283841,87,79,15,7,5,11,181,23,204
20007418,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.0254816,37.50011306,2020,9,신논현역,929.5735097,45,34,9,5,1,9,88,15,103
25643095,스타벅스,11710,송파구,1171010500,석촌동,서울특별시 송파구 석촌동 286-9,서울특별시 송파구 백제고분로,127.1060134,37.50424607,2020,2,석촌역,410.1456636,33,17,1,8,6,10,51,24,75
11707694,스타벅스,11290,성북구,1129013500,종암동,서울특별시 성북구 종암동 3-686,서울특별시 성북구 종암로,127.0339835,37.60118133,2020,3,월곡역,660.7604414,15,3,0,10,0,7,18,17,35
12573377,스타벅스,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 651,서울특별시 송파구 송파대로,127.1207441,37.4845513,2020,0,문정역,363.7381875,33,17,1,8,6,10,51,24,75
12553778,스타벅스,11290,성북구,1129013600,하월곡동,서울특별시 성북구 하월곡동 89-7,서울특별시 성북구 동소문로,127.029302,37.60761238,2020,5,길음역,628.5979132,15,3,0,10,0,7,18,17,35
