,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
185,2020,5,관악구,4575206,185,,,,,,,,,,
186,2020,5,관악구,8366240,186,,,,,,,,,,
187,2020,5,관악구,7451742,187,,,,,,,,,,
188,2020,5,관악구,4276875,188,,,,,,,,,,
189,2020,5,관악구,8183079,189,,,,,,,,,,
190,2020,5,관악구,6112939,190,,,,,,,,,,
191,2020,5,관악구,3828049,191,,,,,,,,,,
192,2020,5,관악구,4998260,192,,,,,,,,,,
193,2020,5,관악구,5766857,193,,,,,,,,,,
194,2020,5,관악구,5284767,194,,,,,,,,,,
195,2020,5,관악구,8219067,195,,,,,,,,,,
196,2020,5,관악구,4810476,196,,,,,,,,,,
197,2020,5,관악구,4252672,197,,,,,,,,,,
198,2020,5,관악구,7728186,198,,,,,,,,,,
199,2020,5,관악구,5030943,199,,,,,,,,,,
200,2020,5,관악구,5497059,200,,,,,,,,,,
201,2020,5,관악구,4869522,201,,,,,,,,,,
202,2020,5,관악구,5316286,202,,,,,,,,,,
203,2020,5,관악구,4578603,203,,,,,,,,,,
204,2020,5,관악구,5845732,204,,,,,,,,,,
205,2020,5,관악구,4382152,205,,,,,,,,,,
206,2020,19,양천구,4135775,206,,,,,,,,,,
207,2020,5,관악구,6284916,207,,,,,,,,,,
208,2020,5,관악구,6471707,208,,,,,,,,,,
209,2020,5,관악구,7892653,209,,,,,,,,,,
210,2020,5,관악구,4581013,210,,,,,,,,,,
211,2020,5,관악구,4117127,211,,,,,,,,,,
212,2020,5,관악구,5929340,212,,,,,,,,,,
213,2020,5,관악구,5592299,213,,,,,,,,,,
214,2020,5,관악구,5068009,214,,,,,,,,,,
215,2020,5,관악구,3828944,215,,,,,,,,,,
216,2020,5,관악구,1356338,216,,,,,,,,,,
217,2020,5,관악구,5448224,217,,,,,,,,,,
218,2020,5,관악구,4940549,218,,,,,,,,,,
219,2020,5,관악구,4653309,219,,,,,,,,,,
220,2020,5,관악구,3704027,220,,,,,,,,,,
221,2020,5,관악구,2822558,221,,,,,,,,,,
222,2020,5,관악구,5699120,222,,,,,,,,,,
223,2020,5,관악구,5902205,223,,,,,,,,,,
224,2020,5,관악구,3542114,224,,,,,,,,,,
225,2020,5,관악구,6613517,225,,,,,,,,,,
226,2020,5,관악구,6482728,226,,,,,,,,,,
227,2020,5,관악구,5251972,227,,,,,,,,,,
228,2020,5,관악구,5042344,228,,,,,,,,,,
229,2020,5,관악구,6663415,229,,,,,,,,,,
230,2020,5,관악구,5121200,230,,,,,,,,,,
231,2020,12,동작구,2322340,231,,,,,,,,,,
232,2020,12,동작구,2270157,232,,,,,,,,,,
233,2020,12,동작구,4587594,233,,,,,,,,,,
234,2020,12,동작구,4576715,234,,,,,,,,,,
235,2020,12,동작구,4457189,235,,,,,,,,,,
236,2020,12,동작구,2883138,236,,,,,,,,,,
237,2020,12,동작구,3608250,237,,,,,,,,,,
238,2020,12,동작구,4349060,238,,,,,,,,,,
239,2020,12,동작구,2522283,239,,,,,,,,,,
240,2020,12,동작구,3283028,240,,,,,,,,,,
241,2020,12,동작구,3553435,241,,,,,,,,,,
242,2020,12,동작구,3526296,242,,,,,,,,,,
243,2020,12,동작구,5359669,243,,,,,,,,,,
244,2020,12,동작구,4778064,244,,,,,,,,,,
245,2020,12,동작구,3517018,245,,,,,,,,,,
246,2020,12,동작구,1916837,246,,,,,,,,,,
247,2020,12,동작구,2437317,247,,,,,,,,,,
248,2020,12,동작구,4028611,248,,,,,,,,,,
249,2020,12,동작구,5094385,249,,,,,,,,,,
250,2020,12,동작구,3794154,250,,,,,,,,,,
