field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,bus_cnt
138,11836610,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 신반포로,127.0119225,37.50861449,2018,4
139,11931313,스타벅스대치사거리점,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 960-5,서울특별시 강남구 삼성로,127.0588155,37.50335683,2018,7
140,12421780,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 777-11,서울특별시 서초구 방배중앙로,126.9865526,37.49352318,2018,4
141,12104846,스타벅스강남우성점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 832-3,서울특별시 강남구 강남대로,127.0306939,37.4923528,2018,7
142,12129375,스타벅스송파구청점,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 22-5,서울특별시 송파구 오금로,127.1074057,37.51460076,2018,5
143,12434847,스타벅스신사가로수점,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 533-11,서울특별시 강남구 압구정로12길,127.022506,37.52188494,2018,4
144,12338982,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 89-4,서울특별시 강남구 도산대로57길,127.0418193,37.52525095,2018,7
145,12611340,스타벅스송파위례점,11710,송파구,1171010900,장지동,서울특별시 송파구 장지동 884,서울특별시 송파구 위례광장로,127.1437439,37.47854792,2018,7
146,12584840,스타벅스문정하비오점,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 618,서울특별시 송파구 송파대로,127.1248723,37.47961708,2018,7
147,12510878,스타벅스,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 44-12,서울특별시 강남구 학동로,127.045958,37.5183013,2018,7
148,12431198,스타벅스청담영동대로점,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 132-1,서울특별시 강남구 영동대로,127.056441,37.52217895,2018,4
149,12478338,스타벅스,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 226-10,서울특별시 송파구 오금로,127.1205658,37.50650884,2018,8
150,12514290,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 736-2,서울특별시 서초구 강남대로85길,127.0225824,37.50736061,2018,7
151,12573377,스타벅스문정역점,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 651,서울특별시 송파구 송파대로,127.1207441,37.4845513,2018,5
152,12553778,스타벅스,11290,성북구,1129013600,하월곡동,서울특별시 성북구 하월곡동 89-7,서울특별시 성북구 동소문로,127.029302,37.60761238,2018,8
153,12576496,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 21-7,서울특별시 서초구 강남대로,127.019521,37.51485002,2018,11
154,12563750,스타벅스,11710,송파구,1171010200,신천동,서울특별시 송파구 신천동 7-30,서울특별시 송파구 송파대로,127.098885,37.51577952,2018,12
