표준ID,ARS-ID,정류소명,X좌표,Y좌표,NUMPOINTS
"109000167","10253",창2동주민센터.보건지소,127.0335762546,37.6407893749,"0"
"109000170","10256",창2동한일아파트,127.0372476292,37.6462376895,"0"
"109000171","10257",창1동제1공영주차장입구,127.0377304932,37.6463558201,"0"
"109000172","10258",한신아파트101동앞,127.0348494271,37.6460571551,"2"
"109000173","10259",KT도봉지점,127.0348588852,37.6461120525,"2"
"109000174","10260",창동청구빌라,127.0399081678,37.645763246,"0"
"109000175","10261",창동청구빌라,127.0395826085,37.646145082,"0"
"109000176","10262",창동대우아파트입구,127.0405206902,37.6430285012,"0"
"109000177","10263",창동대우아파트입구,127.0404233594,37.643218186,"0"
"109000178","10264",창동대우아파트,127.0367096829,37.6426203363,"0"
"109000179","10265",창동역동측(도봉방면),127.0500123067,37.6538732633,"0"
"109000180","10266",창동역동측(노원방면),127.0503825592,37.6536958082,"0"
"109000181","10269",서울가든아파트앞,127.044139736,37.6469421963,"0"
"109000182","10270",창1동주민센터,127.0436227151,37.6483093961,"0"
"109000183","10271",창1동주민센터,127.0430331311,37.6486058445,"0"
"109000184","10272",창동주공3단지,127.0416711626,37.6513223493,"0"
"109000185","10273",창동주공3단지,127.0415579149,37.6513238981,"0"
"109000188","10276",세그루학원,127.0279423371,37.6565419913,"0"
"109000189","10277",세그루학원,127.0279239398,37.6556222508,"0"
"109000190","10278",창동주공17단지,127.0537998033,37.6458852213,"0"
"109000191","10279",창동주공17단지,127.0539101696,37.6459869217,"0"
"109000192","10280",창3동염광아트필,127.0429004467,37.6343147271,"0"
"109000193","10281",창3동염광아트빌,127.0428900482,37.6342807126,"0"
"109000194","10282",한승미메이드아파트,127.0434165614,37.6335396586,"0"
"109000195","10283",한승미메이드아파트,127.0434513377,37.6334368767,"0"
"109000196","10284",북서울농협창동지점,127.0411552452,37.6339525315,"0"
"109000197","10285",북서울농협창동지점,127.0411693533,37.6339273407,"0"
"109000198","10286",신화초교입구,127.0397817793,37.6334208391,"0"
"109000199","10287",신화초교입구,127.0400451553,37.633469163,"0"
"109900166","10292",서울외국어고등학교,127.0526530083,37.6452340626,"0"
"109900165","10293",서울외국어고등학교,127.0527243812,37.6452441664,"0"
"109000206","10294",방학동새마을금고,127.036607838,37.6651960461,"4"
"109000207","10295",거성학마을아파트,127.0381393473,37.6662273606,"0"
"109000208","10296",방학1동어린이집입구,127.040629992,37.66722904,"0"
"109000209","10297",창5동현대아파트,127.0404077764,37.6560288231,"0"
"109000210","10298",창5동현대1차아파트,127.0404892695,37.6560443064,"0"
"109000211","10299",창동아이파크,127.0469328403,37.6615629255,"0"
"108000381","10301",창번교,127.0384020053,37.6354798769,"0"
"109000214","10302",방학3동주민센터,127.0278151482,37.6591649432,"0"
"109000215","10303",도봉동서광아파트,127.0493045611,37.6782308552,"0"
"109000216","10304",정병원,127.0419327395,37.6619843643,"0"
"109000217","10305",창동고등학교,127.0385497657,37.6514144593,"0"
"109000218","10306",정의여중고입구,127.0332251973,37.651056061,"0"
"109000221","10309",도깨비시장,127.035649469,37.6653000345,"4"
"109000222","10310",방학동도깨비시장,127.0355600069,37.6652479014,"4"
"109000223","10311",태영데시앙아파트,127.0323983284,37.6423401965,"0"
"109000224","10312",창번교앞,127.0383202871,37.6354837107,"0"
"109000225","10313",금용아파트,127.0351558615,37.6377169643,"0"
"109000226","10314",창번2교앞,127.0345285421,37.6386824506,"0"
"109000227","10315",대우아파트104동,127.0383497879,37.643255677,"0"
"109000228","10317",도봉산입구,127.041047463,37.6871747704,"0"
"109000231","10320",샘말어린이공원,127.0319036732,37.6687225635,"0"
"109000232","10321",안방학동,127.0299503298,37.6690814827,"0"
"109000236","10325",동아운수앞,127.0139573374,37.6589448343,"0"
"109000241","10330",창동.신창시장,127.038418708,37.6388808815,"2"
"109000242","10331",신창.창동시장,127.0384233227,37.6390348339,"2"
"109000397","10333",안방학동,127.0329200703,37.6676647358,"0"
"109000396","10334",안방학동,127.032998514,37.6677271681,"0"
"109000403","10335",창동농협물류센터,127.0501372274,37.6548286807,"0"
"109000399","10336",태영데시앙아파트,127.0317762397,37.6426635765,"0"
"109000400","10337",방학중학교,127.0325992054,37.6667775954,"0"
"109000405","10339",도봉산역광역환승센터,127.0444226744,37.6898660327,"0"
"109000406","10340",도봉산역광역환승센터,127.0443587101,37.6899469943,"0"
"109000408","10341",도봉산역광역환승센터,127.043406,37.690199,"0"
"109900006","10502",도봉여성센터,127.0302629774,37.6628934249,"0"
"109900114","10503",한일병원,127.0284618027,37.6458703871,"0"
"109900007","10504",동익아파트,127.0252402136,37.6506928697,"0"
"109900104","10505",꽃동네,127.0225083581,37.6527624066,"0"
"109900005","10506",법종사,127.0180188253,37.6573494155,"0"
"109900002","10509",한일병원입구,127.0286535197,37.6445716672,"0"
"109900001","10510",용호약국,127.0252100456,37.6499594869,"0"
"109900003","10511",에덴약국,127.0233491615,37.6514453481,"0"
"109900102","10512",청한빌라,127.0152051583,37.6572735575,"0"
"109900101","10514",방학동신동아아파트,127.0276962793,37.6600288684,"0"
"109900100","10515",사거리슈퍼,127.0258173863,37.6497472741,"0"
"109900099","10516",쌍문1동현대아파트,127.022646,37.650602,"0"
"109900105","10517",우이성당,127.0157454985,37.655685937,"0"
"109900098","10519",방학동성원아파트.방학3동주민센터,127.0277616626,37.658693172,"0"
"109900130","10520",쌍문역,127.0341205443,37.6474539623,"6"
"109900097","10521",믿음주유소,127.0265121549,37.6493696845,"0"
"109900096","10522",오복슈퍼,127.0231702599,37.6495315175,"0"
"109900095","10525",함석헌기념관.정의여중고,127.0372262289,37.6526424981,"0"
"109900094","10526",쌍문1동주민센터,127.0264449427,37.6481734441,"0"
"109900093","10527",환승장.기숙사,127.0229542411,37.6489437777,"0"
"109900092","10528",덕성여대후문.효문중고교앞,127.0171614553,37.6527195184,"0"
"109900140","10529",창동아이파크,127.0478011278,37.6611598631,"0"
"109900089","10532",쌍문초등학교,127.024894777,37.6477100198,"0"
"109900106","10533",쌍문1치안센터,127.0203384108,37.650172507,"0"
"109900115","10535",신일라이프아파트,127.0294856721,37.6507664306,"0"
"109900111","10536",시립도봉노인종합복지관,127.0355034001,37.6580479783,"2"
"109900107","10537",경기장학관,127.021701637,37.6496408873,"0"
"109900087","10540",방학삼성래미안1단지아파트,127.0461711313,37.6673964222,"0"
"109900086","10541",소피아호텔,127.0349049504,37.6511771538,"0"
"109900085","10542",쌍문동현대1차아파트,127.0323943735,37.6579716231,"0"
"109900084","10546",미래빌라,127.0266531648,37.6482163874,"0"
"109900083","10549",도봉중학교.서원아파트,127.0457687946,37.6712159749,"0"
"109900131","10550",창동한신아파트,127.0347256668,37.6460678822,"2"
"109900082","10551",성원아파트,127.0301237463,37.657840788,"0"
"109900081","10553",세무서앞,127.0508364014,37.6532657998,"0"
"109900157","10554",하나약국,127.0467675866,37.6732474329,"0"
"109900132","10556",창동중앙약국,127.0371363264,37.6462298478,"0"
"109900080","10557",선덕사거리.세그루학원입구,127.0282971759,37.6577046066,"0"
"109900078","10560",도봉시장,127.0472774781,37.6747388654,"0"
