field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,HubName,HubDist
"91","20828526",스타벅스,"11350",노원구,"1135010300",공릉동,서울특별시 노원구 공릉동 126,서울특별시 노원구 화랑로,127.088969020253,37.6287759891336,"2018",화랑대역,1104.2115400146
"92","20005051",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 나루터로4길,127.013448018261,37.5095823555688,"2018",반포역,201.655264352141
"93","20017739",스타벅스,"11680",강남구,"1168011800",도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길,127.054163435442,37.4892992237675,"2018",도곡역,171.161761336418
"94","20424762",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 826-26,서울특별시 강남구 테헤란로2길,127.029679239432,37.4964803158248,"2018",강남역,466.384715618763
"95","20025300",스타벅스역삼역점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 646-15,서울특별시 강남구 테헤란로,127.035177610748,37.5007062485243,"2018",동오역,158.169998893235
"96","25585003",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 5-1,서울특별시 강남구 도산대로,127.023368467937,37.5173417649322,"2018",신사역,479.266333007756
"97","20028687",스타벅스대치점,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 988-17,서울특별시 강남구 도곡로,127.062221296007,37.4996265116081,"2018",대치역,573.785600250734
"98","23213262",스타벅스석촌호수점,"11710",송파구,"1171010400",송파동,서울특별시 송파구 송파동 7-4,서울특별시 송파구 석촌호수로,127.105216364301,37.5094301379565,"2018",잠실역,585.354400595788
"99","20389762",스타벅스광운대점,"11350",노원구,"1135010200",월계동,서울특별시 노원구 월계동 410-1,서울특별시 노원구 석계로,127.060705412335,37.6231751762071,"2018",광운대역,140.734713280564
"100","20295450",스타벅스,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1699-3,서울특별시 서초구 서초중앙로,127.013361956833,37.4963541721937,"2018",교대역,390.724246406058
"101","20023633",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 144-25,서울특별시 강남구 테헤란로,127.055580896323,37.5069442507099,"2018",선릉역,766.354806175436
"102","25694521",스타벅스,"11650",서초구,"1165010700",반포동,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로,127.00239321346,37.5039300142165,"2018",고속터미널역,243.538210415856
"103","20880708",스타벅스잠실점,"11710",송파구,"1171010200",신천동,서울특별시 송파구 신천동 11-4,서울특별시 송파구 올림픽로35가길,127.103446561974,37.5174361339672,"2018",잠실나루역,204.884301737712
"104","20088322",스타벅스한성대입구역점,"11290",성북구,"1129010200",성북동1가,서울특별시 성북구 성북동1가 35-1,서울특별시 성북구 성북로,127.004904251791,37.5890460115547,"2018",한성대입구역,252.455200341699
"105","25274618",스타벅스송파사거리점,"11710",송파구,"1171010400",송파동,서울특별시 송파구 송파동 96-7,서울특별시 송파구 송파대로,127.110334770409,37.502269334236,"2018",석촌역,127.563952079036
"106","23208222",스타벅스,"11320",도봉구,"1132010700",창동,서울특별시 도봉구 창동 659-5,서울특별시 도봉구 도봉로,127.034868675382,37.6483488366145,"2018",쌍문역,81.1350185447571
"107","20389010",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 701-7,서울특별시 강남구 테헤란로,127.043762069759,37.5033350490038,"2018",역삼역,391.964498193076
"108","22800473",스타벅스노원케이티점,"11350",노원구,"1135010500",상계동,서울특별시 노원구 상계동 723,서울특별시 노원구 노해로,127.063825860056,37.6543668305308,"2018",노원역,280.941433565167
"109","20009577",스타벅스,"11650",서초구,"1165010200",양재동,서울특별시 서초구 양재동 4-3,서울특별시 서초구 논현로,127.042575597088,37.4819884081853,"2018",매봉역,664.881576584621
"110","20699038",스타벅스,"11680",강남구,"1168010700",신사동,서울특별시 강남구 신사동 635-13,서울특별시 강남구 압구정로42길,127.034716758462,37.5268330299984,"2018",압구정로데오역,647.436949328859
"111","25729943",스타벅스,"11680",강남구,"1168011400",일원동,서울특별시 강남구 일원동 50,서울특별시 강남구 일원로,127.089578831632,37.4903343408695,"2018",일원역,835.819747329681
"112","25744200",스타벅스코엑스사거리점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 91-31,서울특별시 강남구 영동대로,127.060193379989,37.5152437173541,"2018",봉은사역,275.56008250304
"113","25846799",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 157,서울특별시 강남구 삼성로,127.056219039363,37.5083640085869,"2018",중앙역,771.685402633689
"114","25730277",스타벅스고대프라자점,"11290",성북구,"1129012500",안암동5가,서울특별시 성북구 안암동5가 1-2,서울특별시 성북구 인촌로,127.030957744251,37.5864875767796,"2018",안암역,143.688888106488
"115","25683194",스타벅스,"11650",서초구,"1165010600",잠원동,서울특별시 서초구 잠원동 70-2,서울특별시 서초구 잠원로,127.007423858098,37.5092345394587,"2018",반포역,403.414401907814
"116","25742491",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 755,서울특별시 강남구 역삼로,127.048406096675,37.4992276933378,"2018",한티역,281.597189283187
"117","25808541",스타벅스강남에비뉴점,"11650",서초구,"1165010800",서초동,서울특별시 서초구 서초동 1303-16,서울특별시 서초구 서초대로77길,127.023886925474,37.502721958552,"2018",신논현역,842.526614932862
"118","25797473",스타벅스,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 679-4,서울특별시 강남구 테헤란로,127.037733772702,37.5015740906142,"2018",역삼역,265.201921488029
"119","25902757",스타벅스압구정로데오역점,"11680",강남구,"1168010400",청담동,서울특별시 강남구 청담동 84-3,서울특별시 강남구 선릉로,127.040513119755,37.5265378643378,"2018",압구정로데오역,329.273201151586
"120","23498613",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 651,서울특별시 강남구 남부순환로,127.057395337984,37.4921723983972,"2018",도곡역,271.542093564387
"121","20681728",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 889-70,서울특별시 강남구 테헤란로64길,127.0511760602,37.5037642661984,"2018",선릉역,258.894003884875
"122","25901259",스타벅스방배카페입구점,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로,126.985676893834,37.4972370082012,"2018",구반포역,491.765888993123
"123","20014581",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로,127.059139102428,37.5118203253706,"2018",봉은사역,489.853750816121
"124","23784909",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 59-8,서울특별시 강남구 논현로,127.028627805482,37.5191511988017,"2018",압구정역,488.078229365887
"125","11707694",스타벅스종암점,"11290",성북구,"1129013500",종암동,서울특별시 성북구 종암동 3-686,서울특별시 성북구 종암로,127.033983452137,37.6011813308853,"2018",월곡역,660.764638660176
"126","25637642",스타벅스,"11710",송파구,"1171010700",가락동,서울특별시 송파구 가락동 125-6,서울특별시 송파구 동남로,127.126233039197,37.4918996397466,"2018",문정역,619.335219902433
"127","28520216",스타벅스미아사거리역점,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 35-30,서울특별시 강북구 도봉로,127.030685494292,37.6118406150505,"2018",미아사거리역,355.394621852845
"128","11757465",스타벅스,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 812-2,서울특별시 서초구 방배로,126.99050928001,37.4919441682448,"2018",내방역,486.522134238721
"129","11765466",스타벅스포스코사거리점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 157-36,서울특별시 강남구 테헤란로,127.057428066223,37.5075627123392,"2018",봉은사역,951.950606235058
"130","11798770",스타벅스역삼럭키점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.039391664754,37.4922256105997,"2018",동오역,856.782316357597
"131","12064739",스타벅스,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 812-2,서울특별시 강북구 삼양로,127.021108114965,37.6183841817231,"2018",삼양사거리역,334.001231303753
"132","11978034",스타벅스성신여대정문,"11290",성북구,"1129011700",동선동2가,서울특별시 성북구 동선동2가 134,서울특별시 성북구 보문로34길,127.018842126834,37.5908296207397,"2018",성신여대입구역,311.006822933407
"133","12076165",스타벅스송파방이DT점,"11710",송파구,"1171011100",방이동,서울특별시 송파구 방이동 226-10,서울특별시 송파구 오금로,127.120508852575,37.5065444620512,"2018",방이역,467.429012994285
"134","11931405",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255003449,37.5115850987019,"2018",학동역,304.130925346504
