field_1,상가업소번호,상호명,시군구코드,시군구명,법정동코드,법정동명,지번주소,도로명,경도,위도,year,NUMPOINTS
"120","23498613",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 651,서울특별시 강남구 남부순환로,127.057395337984,37.4921723983972,"2018","16"
"121","20681728",스타벅스,"11680",강남구,"1168010600",대치동,서울특별시 강남구 대치동 889-70,서울특별시 강남구 테헤란로64길,127.0511760602,37.5037642661984,"2018","14"
"122","25901259",스타벅스방배카페입구점,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로,126.985676893834,37.4972370082012,"2018","20"
"123","20014581",스타벅스,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 159,서울특별시 강남구 영동대로,127.059139102428,37.5118203253706,"2018","22"
"124","23784909",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 59-8,서울특별시 강남구 논현로,127.028627805482,37.5191511988017,"2018","11"
"125","11707694",스타벅스종암점,"11290",성북구,"1129013500",종암동,서울특별시 성북구 종암동 3-686,서울특별시 성북구 종암로,127.033983452137,37.6011813308853,"2018","32"
"126","25637642",스타벅스,"11710",송파구,"1171010700",가락동,서울특별시 송파구 가락동 125-6,서울특별시 송파구 동남로,127.126233039197,37.4918996397466,"2018","17"
"127","28520216",스타벅스미아사거리역점,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 35-30,서울특별시 강북구 도봉로,127.030685494292,37.6118406150505,"2018","32"
"128","11757465",스타벅스,"11650",서초구,"1165010100",방배동,서울특별시 서초구 방배동 812-2,서울특별시 서초구 방배로,126.99050928001,37.4919441682448,"2018","24"
"129","11765466",스타벅스포스코사거리점,"11680",강남구,"1168010500",삼성동,서울특별시 강남구 삼성동 157-36,서울특별시 강남구 테헤란로,127.057428066223,37.5075627123392,"2018","13"
"130","11798770",스타벅스역삼럭키점,"11680",강남구,"1168010100",역삼동,서울특별시 강남구 역삼동 798-30,서울특별시 강남구 도곡로,127.039391664754,37.4922256105997,"2018","13"
"131","12064739",스타벅스,"11305",강북구,"1130510100",미아동,서울특별시 강북구 미아동 812-2,서울특별시 강북구 삼양로,127.021108114965,37.6183841817231,"2018","19"
"132","11978034",스타벅스성신여대정문,"11290",성북구,"1129011700",동선동2가,서울특별시 성북구 동선동2가 134,서울특별시 성북구 보문로34길,127.018842126834,37.5908296207397,"2018","25"
"133","12076165",스타벅스송파방이DT점,"11710",송파구,"1171011100",방이동,서울특별시 송파구 방이동 226-10,서울특별시 송파구 오금로,127.120508852575,37.5065444620512,"2018","11"
"134","11931405",스타벅스,"11680",강남구,"1168010800",논현동,서울특별시 강남구 논현동 216-5,서울특별시 강남구 논현로,127.032255003449,37.5115850987019,"2018","17"
