상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_합격(상권코드),2019_총_유동인구_수_합격(상권코드),2018_총_유동인구_수_합격(상권코드)
1000660,독산로108길,8,금천구,4538863,18524304,18690941,4874028
1000659,남부순환로112길,8,금천구,3571493,14026647,12960788,5527048
1000658,금하로24길,8,금천구,2658939,11083727,11352423,3197076
1000657,금하로1길,8,금천구,597999,2339923,2332039,379603
1000656,금하로14길,8,금천구,2999443,12638816,13671021,5740384
1000655,가산로5길,8,금천구,3189302,12134340,11321006,4662474
1000654,가산로3길,8,금천구,2175078,8546216,7996739,2811903
1000653,중앙로1길,7,구로구,2172853,8946543,9385088,4548480
1000652,중앙로15길,7,구로구,3174230,12746432,12273353,2946129
1000651,우마길,7,구로구,4065656,16089963,16662611,4940791
1000650,오류로8길,7,구로구,3514969,14364326,14147169,4787082
1000649,신도림로13길,7,구로구,2188102,8751874,8132848,1601613
1000648,새말로18길,7,구로구,2824995,11211172,11857894,3489705
1000647,부일로1길,7,구로구,901340,3501112,3382359,820250
1000646,부일로15길,7,구로구,1870190,7630147,8622020,899330
1000645,부일로11길,7,구로구,2007854,8160496,8386701,723285
1000644,디지털로32길,7,구로구,4094355,16030355,17265584,9815228
1000643,디지털로32가길,7,구로구,3997946,15439395,15318892,9157746
1000642,디지털로27길,7,구로구,4308502,17504549,18113106,6846410
1000641,도림로6길,7,구로구,5326682,21451823,21614418,6402315
1000640,도림로12길,7,구로구,5350308,22637334,21741201,6669148
1000639,남부순환로97길,7,구로구,2221990,9030320,9378082,2860257
1000638,구로중앙로8길,7,구로구,5178051,19888897,23095600,8695408
1000637,구로중앙로7길,7,구로구,4859317,19583035,19578672,5504169
1000636,구로중앙로42길,7,구로구,2157240,8771406,8446707,2097928
1000635,구로중앙로34길,7,구로구,3494557,14097076,15092551,6089616
1000634,구로중앙로28길,7,구로구,5067679,20485843,19968166,7191487
1000633,구로중앙로19길,7,구로구,3468897,14058847,13358266,4596435
1000632,구로동로8길,7,구로구,8192134,33371649,31733426,9550244
1000631,구로동로7길,7,구로구,5509445,20814089,20675790,6207343
1000630,구로동로42길,7,구로구,4137286,17853506,18262518,5416399
1000629,구로동로41길,7,구로구,3716909,15706749,14199530,4360274
1000628,구로동로38길,7,구로구,4206282,17963414,16480039,5214577
1000627,구로동로28길,7,구로구,4527790,17713273,16735370,6044704
1000626,구로동로15길,7,구로구,3603496,13646586,13188895,4337387
1000625,공원로6가길,7,구로구,3641064,14603952,14966773,4683943
1000624,고척로52길,7,구로구,3126776,12564041,13837057,2343710
1000623,고척로27다길,7,구로구,4098886,16607307,16207275,3460680
1000622,고척로27길,7,구로구,4565141,18494161,17558922,3302815
1000621,고척로21나길,7,구로구,3958305,16094127,14920824,2299893
1000620,경인로47길,7,구로구,3183784,12931754,12991588,4357494
1000619,경인로35길,7,구로구,3358471,13588069,14363766,3330264
1000618,경인로31길,7,구로구,2920739,11910529,11877502,2772811
1000617,경인로15길,7,구로구,3106228,12679051,11333619,2129554
1000616,개봉로3길,7,구로구,2569057,10202251,9142080,3747648
1000615,개봉로2길,7,구로구,2905161,11542596,11438675,4839574
1000614,개봉로23가길,7,구로구,2603802,10607454,11374831,3638888
1000613,개봉로20길,7,구로구,2682223,11087824,11715479,3178899
1000612,개봉로1길,7,구로구,1646437,6752933,6683954,2457220
1000611,개봉로17다길,7,구로구,3921366,16153541,14627191,4156948
1000610,개봉로17길,7,구로구,3363555,13913516,13303077,3540565
1000609,개봉로11길,7,구로구,3781437,15308494,13115040,4577716
1000608,화곡로64길,4,강서구,3906948,16045952,15191106,6424661
1000607,화곡로59길,4,강서구,2476923,10217967,10650859,6714268
1000606,화곡로44나길,4,강서구,4653661,17775084,18243889,6228572
1000605,화곡로31길,4,강서구,5930292,24133281,24940357,9891474
1000604,화곡로20길,4,강서구,5716610,23751229,22130480,4906451
1000603,화곡로13길,4,강서구,4279831,17965704,16175156,3662383
1000602,초원로16길,4,강서구,4090596,16617574,17635262,4285665
1000601,초록마을로8길,4,강서구,6411247,26030077,23711614,4026112
1000600,초록마을로3길,4,강서구,5252999,20506244,18676172,4017237
1000599,월정로20길,4,강서구,8722162,33426953,28403281,6405478
1000598,우장산로6길,4,강서구,4769469,17899662,15016998,4291276
1000597,양천로73가길,4,강서구,4839576,19384067,19061477,5583005
1000596,양천로71길,4,강서구,4541819,18046047,17377615,5040159
1000595,양천로49길,4,강서구,1036378,4189490,4321636,1708936
1000594,양천로26길,4,강서구,1770963,7204278,7215861,1219352
1000593,양천로24길,4,강서구,4400354,18272282,16886201,4050695
1000592,양천로24가길,4,강서구,4239239,17621605,15934825,4492020
1000591,양천로14길,4,강서구,4314471,18125453,17893566,3727716
1000590,방화대로6라길,4,강서구,1505933,6189133,6937964,1653254
1000589,방화대로21길,4,강서구,2877757,11263795,11201666,3266581
1000588,등촌로5길,4,강서구,4794172,19858306,19281881,4436315
1000587,등촌로55길,4,강서구,3276478,13299499,12347559,3558634
1000586,등촌로51길,4,강서구,3682754,14928214,14118525,3370790
1000585,등촌로39길,4,강서구,3406068,13371098,13338074,2402330
1000584,등촌로13길,4,강서구,4933258,20668627,19156105,4148602
1000583,남부순환로11길,4,강서구,2829493,11620893,11887419,2804308
1000582,까치산로4길,4,강서구,7660411,31188319,29473750,6260821
1000581,국회대로7길,4,강서구,4848501,19766582,21416403,4643606
1000580,공항대로8길,4,강서구,3019120,12434443,13072738,4112510
1000579,공항대로61길,4,강서구,4698401,18785478,17449413,6385764
1000578,공항대로59다길,4,강서구,5855448,23549143,22855247,8476464
1000577,공항대로59길,4,강서구,4885868,19394184,17267036,5473643
1000576,공항대로55길,4,강서구,3502725,14141241,12271491,2610152
1000575,공항대로42길,4,강서구,2425810,10729207,11480672,4831842
1000574,공항대로38길,4,강서구,1879076,8130799,9369374,5137991
1000573,곰달래로60길,4,강서구,4181349,17463029,17981034,4640723
1000572,곰달래로53길,4,강서구,4453600,18279636,16808514,3077416
1000571,곰달래로47길,4,강서구,5045065,20234640,19529735,3736212
1000570,곰달래로31길,4,강서구,6102253,24080746,25623003,8392252
1000569,곰달래로25길,4,강서구,8186392,32583212,35576906,12951119
1000568,개화동로25길,4,강서구,3192625,13196136,14221981,2599606
1000567,개화동로23길,4,강서구,4119125,17055834,18213537,3367608
1000566,강서로8길,4,강서구,9073960,35226950,39070530,14392327
1000565,강서로5라길,4,강서구,4973894,19554133,22019609,5549402
1000564,강서로5나길,4,강서구,9977873,38119823,33870267,9255006
1000563,강서로5가길,4,강서구,11500673,43910805,43122103,14255685
1000562,강서로47라길,4,강서구,4522118,18056187,17569863,4513540
1000561,강서로47길,4,강서구,5191210,20569375,19441562,4394553
1000560,강서로45다길,4,강서구,4769472,19401527,18958222,5778265
1000559,강서로45길,4,강서구,3370394,13852707,13545237,4161594
1000558,강서로35길,4,강서구,5117395,20654873,20260201,7839192
1000557,강서로29길,4,강서구,7356549,29782983,28646644,8386805
1000556,강서로18길,4,강서구,9156827,36540717,33922520,7718727
1000555,강서로17가길,4,강서구,6947681,28342177,27235596,6525087
