기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,id,구,총_유동인구_수,2020_총_유동인구_수_평균(상권코드),2019_총_유동인구_수_평균(상권코드),2018_총_유동인구_수_평균(상권코드)
2020,4,1000838,호암로20길,5,관악구,7397982,7893760,8182292,2949159
2020,4,1000837,행운길,5,관악구,7597821,8003120,8210777,2999483
2020,4,1000836,행운1길,5,관악구,7262517,7766896,8021310,3464701
2020,4,1000835,청림3길,5,관악구,6092471,6048487,5437543,1135306
2020,4,1000834,청룡길,5,관악구,8027497,8005274,7467046,3119316
2020,4,1000833,청룡8길,5,관악구,6723525,6807418,6607705,1943170
2020,4,1000832,중앙길,19,양천구,9284950,9365656,8623067,2740635
2020,4,1000831,조원중앙로2길,5,관악구,5331803,5402967,5407040,1466813
2020,4,1000830,조원로18길,5,관악구,4577563,4561663,4830687,1519851
2020,4,1000829,조원로10길,5,관악구,6092344,6079681,6419446,2858570
2020,4,1000828,장군봉2길,5,관악구,4881286,5184063,5397892,1495560
2020,4,1000827,장군봉1길,5,관악구,5938894,6093985,6256420,2053846
2020,4,1000826,인헌길,5,관악구,4808860,4863956,4206716,855976
2020,4,1000825,은천로25길,5,관악구,4575206,4309400,3986553,958816
2020,4,1000824,양녕로6길,5,관악구,8366240,8475259,7890353,2992148
2020,4,1000823,신원로3길,5,관악구,7451742,7697033,8069831,2946462
2020,4,1000822,신사로20길,5,관악구,4276875,4395264,4154288,861479
2020,4,1000821,신림로65길,5,관악구,8183079,8586569,9429901,4438175
2020,4,1000820,신림로64길,5,관악구,6112939,6281082,6545850,3526910
2020,4,1000819,신림로48길,5,관악구,3828049,3871051,3995097,865363
2020,4,1000818,신림로38길,5,관악구,4998260,4992408,3896365,883390
2020,4,1000817,신림로28길,5,관악구,5766857,6157745,6517484,2741059
2020,4,1000816,신림로11길,5,관악구,5284767,5569915,5808021,2237081
2020,4,1000815,신림동길,5,관악구,8219067,8579423,9040903,3707327
2020,4,1000814,승방길,5,관악구,4810476,4863098,4775863,1756497
2020,4,1000813,서림7길,5,관악구,4252672,4346186,4428573,1644218
2020,4,1000812,봉천로33길,5,관악구,7728186,7595914,7118727,2686085
2020,4,1000811,봉천로13길,5,관악구,5030943,5111082,5253908,1385002
2020,4,1000810,복은길,5,관악구,5497059,5582380,4962247,1329775
2020,4,1000809,법원단지길,5,관악구,4869522,4931875,4880831,1255344
2020,4,1000808,법원단지9길,5,관악구,5316286,5401164,5326166,1190304
2020,4,1000807,미성5길,5,관악구,4578603,4684775,4563999,1192507
2020,4,1000806,대학길,5,관악구,5845732,6199357,6359446,2275783
2020,4,1000805,대학14길,5,관악구,4382152,4594413,4576480,1251527
2020,4,1000804,당곡길,19,양천구,4135775,4250123,4270959,1490258
2020,4,1000803,남현길,5,관악구,6284916,6328888,6160549,1412521
2020,4,1000802,남현3길,5,관악구,6471707,6538289,6613405,2240927
2020,4,1000801,남현2길,5,관악구,7892653,7826577,7733851,1839726
2020,4,1000800,남부순환로248길,5,관악구,4581013,4654346,4339365,1160365
2020,4,1000799,남부순환로234길,5,관악구,4117127,4282443,4576272,1874588
2020,4,1000798,남부순환로172길,5,관악구,5929340,6131832,6538002,2114433
2020,4,1000797,남부순환로161길,5,관악구,5592299,5605876,5541070,1334985
2020,4,1000796,남부순환로151길,5,관악구,5068009,5024125,5408423,1558580
2020,4,1000795,남부순환로142길,5,관악구,3828944,4009739,4043689,1265020
2020,4,1000794,난향길,5,관악구,1356338,1384451,1321372,228558
2020,4,1000793,난우길,5,관악구,5448224,5631598,5440458,1173517
2020,4,1000792,난곡로74길,5,관악구,4940549,4975126,5343282,1311775
2020,4,1000791,난곡로34길,5,관악구,4653309,4694069,4659907,1215741
2020,4,1000790,난곡로26길,5,관악구,3704027,3701057,3643965,831518
2020,4,1000789,난곡로24길,5,관악구,2822558,2836477,2759297,388401
2020,4,1000788,낙성대역길,5,관악구,5699120,5905122,5700183,2321940
2020,4,1000787,국회단지길,5,관악구,5902205,5794905,5420380,1535670
2020,4,1000786,구암길,5,관악구,3542114,3480865,3726537,915808
2020,4,1000785,관천로22길,5,관악구,6613517,6863794,6739723,1967174
2020,4,1000784,관천로15길,5,관악구,6482728,6757089,6477721,1108313
2020,4,1000783,관악로30길,5,관악구,5251972,5150827,4672348,1105650
2020,4,1000782,관악로28길,5,관악구,5042344,4997376,4626789,1144662
2020,4,1000781,관악로14길,5,관악구,6663415,6838189,7541465,3752011
2020,4,1000780,관악로10길,5,관악구,5121200,5218710,5639264,2528758
2020,4,1000779,흑석로9길,12,동작구,2322340,2411548,2860712,3283897
2020,4,1000778,흑석로13길,12,동작구,2270157,2386024,2835231,3337369
2020,4,1000777,장승배기로27길,12,동작구,4587594,4923946,4998484,1973374
2020,4,1000776,장승배기로19길,12,동작구,4576715,4958307,4941705,1813872
2020,4,1000775,장승배기로10길,12,동작구,4457189,4718923,4704195,1824555
2020,4,1000774,여의대방로46길,12,동작구,2883138,2907822,2850650,1348301
2020,4,1000773,여의대방로24길,12,동작구,3608250,3726768,3738266,1372225
2020,4,1000772,여의대방로22카길,12,동작구,4349060,4643499,4688963,1512898
2020,4,1000771,여의대방로22나길,12,동작구,2522283,2592665,2583030,896854
2020,4,1000770,여의대방로22길,12,동작구,3283028,3431176,3432620,1034717
2020,4,1000769,양녕로26길,12,동작구,3553435,3612999,3287567,612580
2020,4,1000768,신대방길,12,동작구,3526296,3600626,3464487,1452835
2020,4,1000767,성대로29길,12,동작구,5359669,5537309,5224524,1231983
2020,4,1000766,성대로1길,12,동작구,4778064,4742894,4320210,1413892
2020,4,1000765,서달로8가길,12,동작구,3517018,3729197,3954072,3950774
2020,4,1000764,서달로15길,12,동작구,1916837,2085455,2553982,3743223
2020,4,1000763,서달로14길,12,동작구,2437317,2708704,2765397,2602214
2020,4,1000762,서달로10길,12,동작구,4028611,4068594,4141532,2328411
2020,4,1000761,상도로62길,12,동작구,5094385,5216545,5714187,1645617
2020,4,1000760,상도로61길,12,동작구,3794154,3956971,4272910,1259258
2020,4,1000759,상도로47길,12,동작구,4441714,4433681,4474833,1060939
2020,4,1000758,상도로37길,12,동작구,4278062,4253075,4246978,1201042
2020,4,1000757,상도로15길,12,동작구,5842651,5971600,5502552,2014419
2020,4,1000756,사당로8길,12,동작구,5636800,5932427,5480901,1310497
2020,4,1000755,사당로30길,12,동작구,3806771,3947145,4197185,2558074
2020,4,1000754,사당로2차길,12,동작구,2784335,2935637,2248030,558448
2020,4,1000753,사당로29길,12,동작구,4769628,4966597,5298223,3094685
2020,4,1000752,사당로26길,12,동작구,5088744,5099972,5321753,1998081
2020,4,1000751,사당로23나길,12,동작구,2616586,2728120,2811731,718652
2020,4,1000750,사당로23길,12,동작구,3041006,3185990,3178236,546469
2020,4,1000749,사당로20길,12,동작구,5392393,5304373,5541316,1614203
2020,4,1000748,사당로16길,12,동작구,6850455,6779743,6543068,1643965
2020,4,1000747,사당로16가길,12,동작구,5407991,5703000,5370826,1394622
2020,4,1000746,만양로8길,12,동작구,5741923,6086550,6345262,2334070
2020,4,1000745,만양로14길,12,동작구,3813778,4216136,4455175,2121594
2020,4,1000744,등용로14길,12,동작구,3049866,3087721,3012640,1092169
2020,4,1000743,동작대로7길,12,동작구,7327314,7455155,7691457,3348303
2020,4,1000742,동작대로35길,12,동작구,4798436,4997691,4834152,1245197
2020,4,1000741,동작대로33길,12,동작구,6119143,6341003,6513385,3101309
2020,4,1000740,동작대로29길,12,동작구,4371625,4371471,4593512,1909536
2020,4,1000739,동작대로17길,12,동작구,4613528,4789916,5236543,3169140
2020,4,1000738,대방동2길,12,동작구,3228251,3256420,3305029,1330341
2020,4,1000737,대방동27길,12,동작구,2892109,2859538,2903004,1014431
2020,4,1000736,노량진로6길,12,동작구,4551758,4824892,4627663,1369307
2020,4,1000735,국사봉길,12,동작구,6445641,6564664,6264400,1758381
2020,4,1000734,국사봉2길,12,동작구,4547394,4708611,4543376,1563943
2020,4,1000733,국사봉1길,12,동작구,5862269,5881506,5553081,2096118
2020,4,1000732,영신로9길,20,영등포구,5258067,5453166,6221619,1778379
2020,4,1000731,영등포로84길,20,영등포구,5133579,5125577,5049619,2133771
2020,4,1000730,영등포로80길,20,영등포구,4973179,4963974,4972705,2244498
2020,4,1000729,영등포로62길,20,영등포구,3642229,3734528,4325314,1153978
2020,4,1000728,영등포로35길,20,영등포구,3472260,3629729,4078943,2466024
2020,4,1000727,영등포로27길,20,영등포구,4098929,4280557,4401656,1292894
2020,4,1000726,영등포로25길,20,영등포구,3374882,3588695,3689839,1383848
2020,4,1000725,여의대방로61길,20,영등포구,2451405,2509298,2633356,1166552
2020,4,1000724,여의대방로43나길,20,영등포구,4862617,4793975,4500576,1469812
2020,4,1000723,여의대방로39길,20,영등포구,2506338,2477206,2281345,705167
2020,4,1000722,여의대방로35길,20,영등포구,4149634,4173805,4051524,1374536
2020,4,1000721,양평로28길,20,영등포구,1329506,1367504,1307006,352706
2020,4,1000720,양평로22라길,20,영등포구,1762650,1831149,1737031,625388
2020,4,1000719,양평로19길,20,영등포구,2977363,3131410,3187483,1212241
2020,4,1000718,신길로60길,20,영등포구,5344366,5443152,6017143,1785580
2020,4,1000717,신길로42길,20,영등포구,4844712,4764207,4668956,1230346
2020,4,1000716,신길로42가길,20,영등포구,7015524,6958909,6649461,2137938
2020,4,1000715,신길로39길,20,영등포구,5184226,5267428,5922483,1710893
2020,4,1000714,신길로17길,20,영등포구,5610155,4987531,4191681,1142955
2020,4,1000713,선유서로28길,20,영등포구,2860034,2955888,2794076,1093703
2020,4,1000712,선유서로25길,20,영등포구,2242148,2357200,2225302,732767
2020,4,1000711,선유서로24길,20,영등포구,3065540,3128702,3001256,1138157
2020,4,1000710,선유로55길,20,영등포구,2226680,2314611,2371921,972832
2020,4,1000709,디지털로74길,20,영등포구,6897585,5796062,4518957,1296218
2020,4,1000708,디지털로57길,20,영등포구,5982683,5863208,6041222,2450101
2020,4,1000707,디지털로37길,20,영등포구,5775207,5747420,6202089,2312341
2020,4,1000706,도신로62길,20,영등포구,5329958,5292196,5110706,2130065
2020,4,1000705,도신로60길,20,영등포구,4908323,4872413,4645614,1731450
2020,4,1000704,도신로29길,20,영등포구,4859495,5018773,5463685,1402472
2020,4,1000703,도신로15길,20,영등포구,4676391,4879679,4768859,1493326
2020,4,1000702,도림천로21길,20,영등포구,5160363,5316900,5264243,1916751
2020,4,1000701,도림로63길,20,영등포구,4092549,4014238,3971648,1314699
2020,4,1000700,도림로147길,20,영등포구,2301194,2369046,2359128,872540
2020,4,1000699,도림로112길,20,영등포구,4986782,5146119,5263697,1726737
2020,4,1000698,대림로8길,20,영등포구,5963583,5575571,4889689,2042352
2020,4,1000697,대림로7길,20,영등포구,3023099,3190751,3110591,1307734
2020,4,1000696,대림로44길,20,영등포구,2976584,3244877,3683623,1378529
2020,4,1000695,대림로34길,20,영등포구,3527298,3692021,3999797,1727788
2020,4,1000694,대림로31길,20,영등포구,4034327,3995610,4263520,1748255
2020,4,1000693,대림로29길,20,영등포구,5578410,5518145,6199493,2519501
2020,4,1000692,대림로22길,20,영등포구,7304677,6490911,5507223,1809565
2020,4,1000691,당산로46길,20,영등포구,2566570,2736665,2930250,1902449
2020,4,1000690,당산로38길,20,영등포구,4091637,4023144,3961416,1635447
2020,4,1000689,당산로37길,20,영등포구,4392185,4615608,4742332,1638294
2020,4,1000688,당산로31길,20,영등포구,3475237,3607379,3768615,1595437
2020,4,1000687,국회대로56길,20,영등포구,2781333,2989733,3232960,1683880
2020,4,1000686,경인로90길,20,영등포구,2044114,2179683,2452636,1089709
2020,4,1000685,경인로80길,20,영등포구,2495993,2541898,2535699,957450
2020,4,1000684,경인로77길,20,영등포구,2420238,2511705,2642953,961558
2020,4,1000683,가마산로61길,20,영등포구,4714354,4791067,4678175,1524040
2020,4,1000682,시흥대로94길,8,금천구,4129383,3805234,4189623,1112475
2020,4,1000681,시흥대로84길,8,금천구,4620595,4358381,4264392,897318
2020,4,1000680,시흥대로68길,8,금천구,4615559,4689344,4624778,1623306
2020,4,1000679,시흥대로63길,8,금천구,1839629,1891086,1825402,1196304
2020,4,1000678,시흥대로62가길,8,금천구,3787548,3920631,4105922,1544971
2020,4,1000677,시흥대로36길,8,금천구,1235965,1305124,1440082,224590
2020,4,1000676,시흥대로22길,8,금천구,1488975,1519901,1591495,163559
2020,4,1000675,시흥대로153길,8,금천구,3157731,3126131,2879152,1110796
2020,4,1000674,시흥대로150길,8,금천구,4523464,4567414,4318147,1135987
2020,4,1000673,시흥대로141길,8,금천구,3419073,3401593,3014158,1141945
2020,4,1000672,시흥대로138길,8,금천구,2498274,2502650,2438250,883549
2020,4,1000671,시흥대로120길,8,금천구,4004607,4207444,4073757,1283710
2020,4,1000670,벚꽃로56길,8,금천구,2306101,2192580,2207311,685488
2020,4,1000669,범안로17길,8,금천구,1632869,1686229,1970672,624276
2020,4,1000668,범안로11길,8,금천구,2036061,2027278,2211387,677318
2020,4,1000667,문성로5길,8,금천구,4659320,4718832,4679941,1100867
2020,4,1000666,독산로85길,8,금천구,3127048,3182793,3223153,1020493
2020,4,1000665,독산로78다길,8,금천구,4627655,5212920,4547601,982313
2020,4,1000664,독산로70길,8,금천구,4510805,4908399,4383395,962068
2020,4,1000663,독산로64길,8,금천구,3843950,3752012,3284529,685184
2020,4,1000662,독산로50길,8,금천구,2166906,2188350,2073806,220907
2020,4,1000661,독산로40길,8,금천구,3632519,3671133,3668302,543581
2020,4,1000660,독산로108길,8,금천구,4538863,4631076,4672735,1218507
2020,4,1000659,남부순환로112길,8,금천구,3571493,3506662,3240197,1381762
2020,4,1000658,금하로24길,8,금천구,2658939,2770932,2838106,799269
2020,4,1000657,금하로1길,8,금천구,597999,584981,583010,94901
2020,4,1000656,금하로14길,8,금천구,2999443,3159704,3417755,1435096
2020,4,1000655,가산로5길,8,금천구,3189302,3033585,2830252,1165619
2020,4,1000654,가산로3길,8,금천구,2175078,2136554,1999185,702976
2020,4,1000653,중앙로1길,7,구로구,2172853,2236636,2346272,1137120
2020,4,1000652,중앙로15길,7,구로구,3174230,3186608,3068338,736532
2020,4,1000651,우마길,7,구로구,4065656,4022491,4165653,1235198
2020,4,1000650,오류로8길,7,구로구,3514969,3591082,3536792,1196771
2020,4,1000649,신도림로13길,7,구로구,2188102,2187969,2033212,400403
