상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,합
12608069,빽다방,마곡나루역북부점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1.15E+18,1,대지,757,3,서울특별시 강서구 마곡동 757-3,1.15E+11,서울특별시 강서구 마곡중앙5로1길,20,,1.15E+24,마곡나루역보타닉비즈타워,서울특별시 강서구 마곡중앙5로1길 20,157805,7788,,1,,126.826526,37.56863893,8
12592846,빽다방사가정역점,사가정역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11260,중랑구,1126057500,면목3.8동,1126010100,면목동,1.13E+18,1,대지,459,9,서울특별시 중랑구 면목동 459-9,1.13E+11,서울특별시 중랑구 면목로,330,1,1.13E+24,,서울특별시 중랑구 면목로 330-1,131813,2213,,1,,127.0886963,37.58149614,2
12073350,빽다방구로시장점,구로시장점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11530,구로구,1153055000,구로4동,1153010200,구로동,1.15E+18,1,대지,313,5,서울특별시 구로구 구로동 313-5,1.15E+11,서울특별시 구로구 구로동로26길,125,,1.15E+24,,서울특별시 구로구 구로동로26길 125,152050,8312,,1,,126.8910384,37.48987193,7
16973880,빽다방,세종대후문점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11215,광진구,1121573000,군자동,1121510900,군자동,1.12E+18,1,대지,103,,서울특별시 광진구 군자동 103,1.12E+11,서울특별시 광진구 군자로,108,,1.12E+24,세종힐라움,서울특별시 광진구 군자로 108,143839,5004,,,,127.0721505,37.55265085,6
11970434,빽다방태평로점,태평로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114052000,소공동,1114011400,태평로2가,1.11E+18,1,대지,68,1,서울특별시 중구 태평로2가 68-1,1.11E+11,서울특별시 중구 세종대로,82,,1.11E+24,,서울특별시 중구 세종대로 82,100864,4526,,1,,126.977061,37.56338965,5
25558969,빽다방명일역점,명일역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174053000,명일1동,1174010100,명일동,1.17E+18,1,대지,325,2,서울특별시 강동구 명일동 325-2,1.17E+11,서울특별시 강동구 구천면로,418,,1.17E+24,,서울특별시 강동구 구천면로 418,134070,5292,,1,,127.1450151,37.5505068,8
11947822,빽다방신림역2호점,신림역2호점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162064500,서원동,1162010200,신림동,1.16E+18,1,대지,1641,12,서울특별시 관악구 신림동 1641-12,1.16E+11,서울특별시 관악구 신림로,322,,1.16E+24,,서울특별시 관악구 신림로 322,151930,8777,,1,,126.9300815,37.4829605,7
17033710,빽다방,응암역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138063100,신사1동,1138010900,신사동,1.14E+18,1,대지,22,37,서울특별시 은평구 신사동 22-37,1.14E+11,서울특별시 은평구 은평로,56,,1.14E+24,안건빌딩,서울특별시 은평구 은평로 56,122882,3449,,1,,126.9140808,37.59852614,7
17043795,빽다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11230,동대문구,1123066000,장안2동,1123010600,장안동,1.12E+18,1,대지,308,1,서울특별시 동대문구 장안동 308-1,1.12E+11,서울특별시 동대문구 장한로,140,,1.12E+24,,서울특별시 동대문구 장한로 140,130839,2523,,,,127.0721378,37.57284325,4
16957499,빽다방,돈암아리랑점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129059000,돈암2동,1129010300,돈암동,1.13E+18,1,대지,644,,서울특별시 성북구 돈암동 644,1.13E+11,서울특별시 성북구 아리랑로,75,,1.13E+24,돈암코오롱하늘채,서울특별시 성북구 아리랑로 75,136062,2826,,,,127.0136072,37.59882326,7
25455683,빽다방둔촌동역점,둔촌동역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174066000,성내3동,1174010800,성내동,1.17E+18,1,대지,429,2,서울특별시 강동구 성내동 429-2,1.17E+11,서울특별시 강동구 양재대로,1339,,1.17E+24,,서울특별시 강동구 양재대로 1339,134030,5405,,1,,127.1349888,37.52594307,8
25246852,빽다방,잠실역지하도점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171067000,잠실2동,1171010100,잠실동,1.17E+18,1,대지,8,,서울특별시 송파구 잠실동 8,1.17E+11,서울특별시 송파구 올림픽로,265,,1.17E+24,잠실역2호선,서울특별시 송파구 올림픽로 265,138220,5510,,,,127.1005744,37.51356678,8
