상가업소번호,상호명=스타벅스,지점명,시군구코드,시군구명,"강남,서초,송파=1"
23417372,1,목동7단지점,11470,양천구,0
23416567,1,종로수송점,11110,종로구,0
20014581,1,코엑스2점,11680,강남구,1
25292064,1,선정릉역점,11680,강남구,1
25240856,1,강북구청사거리점,11305,강북구,0
8732182,1,뱅뱅사거리점,11680,강남구,1
20016042,1,마포트라팰점,11440,마포구,0
25901259,1,방배카페입구점,11650,서초구,1
20484259,1,학여울점,11680,강남구,1
25313530,1,사당로데오점,11650,서초구,1
16373535,1,아현역점,11410,서대문구,0
20489309,1,종로관철점,11110,종로구,0
19970313,1,건대스타씨티점,11215,광진구,0
16311472,1,서대문구,11410,서대문구,0
20597950,1,신림포도몰점,11620,관악구,0
16209256,1,압구정신원빌딩R점,11680,강남구,1
16326214,1,관악서울대입구R점,11620,관악구,0
16206207,1,문정법원로R점,11710,송파구,1
16210024,1,가산에스케이점,11545,금천구,0
16138463,1,독립문역점,11110,종로구,0
16388964,1,금호역점,11200,성동구,0
16138969,1,광화문우체국점,11110,종로구,0
15279849,1,이촌점,11170,용산구,0
16252691,1,강남교보타워R점,11650,서초구,1
16557048,1,봉은사역점,11680,강남구,1
14056872,1,마곡나루역점,11500,강서구,0
14057308,1,노원마들역점,11350,노원구,0
19976038,1,이태원점,11170,용산구,0
25580127,1,까치산역점,11500,강서구,0
11751054,1,서울타워점,11170,용산구,0
25576902,1,올림픽평화의문점,11710,송파구,1
11757465,1,방배점,11650,서초구,1
20020567,1,여의도의사당점,11560,영등포구,0
11766949,1,여의도역점,11560,영등포구,0
15961548,1,홍대공항철도역점,11440,마포구,0
12521573,1,커피강남대로신사,11650,서초구,1
20028664,1,학동역점,11680,강남구,1
23271125,1,한티역점,11680,강남구,1
9780354,1,은평이마트점,11380,은평구,0
20009393,1,몬테소리점,11650,서초구,1
15954797,1,신용산역점,11170,용산구,0
19989136,1,신촌아트레온점,11410,서대문구,0
4704621,1,장한평역점,11230,동대문구,0
20003237,1,석촌역,11710,송파구,1
20706065,1,월곡역점,11290,성북구,0
20010719,1,서래마을입구점,11650,서초구,1
20404868,1,순화동에이스점,11140,중구,0
19972222,1,신촌대로점,11410,서대문구,0
23784909,1,을지병원사거리점,11680,강남구,1
20248022,1,미아역점,11305,강북구,0
20036974,1,사당역점,11590,동작구,0
20028995,1,포스코점,11680,강남구,1
23482258,1,서울세관사거리점,11680,강남구,1
20286267,1,선릉로점,11680,강남구,1
25296866,1,자양사거리점,11215,광진구,0
14974898,1,신대방삼거리역점,11590,동작구,0
20028264,1,은행사거리점,11350,노원구,0
16589385,1,우장산역점,11500,강서구,0
20272738,1,서울시청점,11140,중구,0
16584519,1,남가좌사거리점,11410,서대문구,0
20663164,1,자양점,11215,광진구,0
20597989,1,상봉역점,11260,중랑구,0
16580662,1,송파헬리오시티점,11710,송파구,1
16593461,1,마포용강동점,11440,마포구,0
25241869,1,천호로데오점,11740,강동구,0
16588483,1,잠실시그마타워점,11710,송파구,1
16588513,1,명일역점,11740,강동구,0
16591510,1,송파나루역DT점,11710,송파구,1
16580007,1,용산리첸시아점,11170,용산구,0
20595780,1,마포일진빌딩점,11440,마포구,0
16591394,1,몽촌토성역점,11710,송파구,1
23515411,1,북촌로점,11110,종로구,0
16585071,1,상도역점,11590,동작구,0
20278157,1,마리오아울렛점,11545,금천구,0
20405835,1,용산역점,11170,용산구,0
26261077,1,가락본동점,11710,송파구,1
26263309,1,충무로역점,11140,중구,0
16585109,1,압구정윤성빌딩점,11680,강남구,1
20308953,1,고대점,11290,성북구,0
20831001,1,역삼포스코점,11680,강남구,1
23198489,1,명동메트로,11140,중구,0
20307826,1,역삼럭키,11680,강남구,1
16641886,1,구로NC점,11530,구로구,0
20282898,1,노원역점,11350,노원구,0
8732314,1,역삼대로점,11680,강남구,1
8725994,1,현대미아점,11290,성북구,0
6660863,1,커리학동사거리점,11680,강남구,1
23233179,1,여의도한양증권점,11560,영등포구,0
26266447,1,상암MBC점,11440,마포구,0
8729351,1,강남대로점,11680,강남구,1
8736085,1,경복아파트점,11680,강남구,1
20016436,1,수유역점,11305,강북구,0
20291002,1,중계역점,11350,노원구,0
20388439,1,선릉역점,11680,강남구,1
23312129,1,서초중앙로점,11650,서초구,1
19993944,1,상명아트홀점,11110,종로구,0
23220273,1,신논현역점,11650,서초구,1
20017045,1,지에스타워점,11680,강남구,1
20385995,1,한솔빌딩점,11680,강남구,1
23447206,1,석촌서호점,11710,송파구,1
20000283,1,마포아크로타워점,11440,마포구,0
25418206,1,서울중앙우체국점,11140,중구,0
23210644,1,서울아트센터점,11650,서초구,1
20666483,1,구로하이엔드점,11530,구로구,0
20671451,1,남산스테이트,11140,중구,0
23498986,1,논현역점,11650,서초구,1
20010511,1,교대점,11650,서초구,1
23421253,1,회기역사거리점,11230,동대문구,0
20669683,1,서소문점,11140,중구,0
20681277,1,동부이촌동점,11170,용산구,0
17206177,1,용산해링턴스퀘어점,11170,용산구,0
17269411,1,테헤란로아남타워점,11680,강남구,1
23299600,1,명일이마트점,11740,강동구,0
23679318,1,왕십리역점,11200,성동구,0
20336210,1,목동점,11470,양천구,0
20436688,1,조선호텔후문,11140,중구,0
22580385,1,삼성교점,11680,강남구,1
17447086,1,대치한티점,11680,강남구,1
17458823,1,등촌대로점,11500,강서구,0
