code,caf?_nm,gu_cd,gu,dong_cd,dong,gibun,road,lng,lat,year,bus_cnt,HubName,HubDist
20691915,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로,127.0278969,37.52404691,2018,2,압구정역,67.52155214
23196601,스타벅스서초파라곤점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.0274035,37.49493882,2018,3,강남역,409.6786299
20378251,스타벅스신압구정점,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 639-7,서울특별시 강남구 언주로174길,127.03642,37.52810841,2018,2,압구정로데오역,453.3403442
23454449,스타벅스,11650,서초구,1165010200,양재동,서울특별시 서초구 양재동 14-4,서울특별시 서초구 강남대로,127.0368501,37.48232032,2018,4,양재역,410.5648354
23513141,스타벅스올림픽공원남문점,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 181,서울특별시 송파구 위례성대로,127.122997,37.51332992,2018,1,방이역,627.3547002
20007418,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.0254816,37.50011306,2018,9,신논현역,929.5735097
20691462,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 908-10,서울특별시 서초구 방배로,126.9976309,37.48198508,2018,10,방배역,93.67256625
19984883,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로,127.0944673,37.51066377,2018,0,잠실새내역,473.2514172
20012839,스타벅스예술의전당점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1451-95,서울특별시 서초구 남부순환로323길,127.0134831,37.48112734,2018,4,남부터미널역,634.9648466
20484259,스타벅스학여울점,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 994-10,서울특별시 강남구 영동대로,127.0685071,37.49799127,2018,2,학여울역,324.7328806
25313530,스타벅스사당로데오점,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 444-7,서울특별시 서초구 방배천로,126.9821471,37.47733842,2018,8,사당역,262.1043177
23186849,스타벅스신천역점,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 181,서울특별시 송파구 올림픽로,127.0812008,37.51145336,2018,0,종합운동장역,611.0016532
8730737,스타벅스가든파이브,11710,송파구,1171010800,문정동,서울특별시 송파구 문정동 628,서울특별시 송파구 충민로,127.1193706,37.47826065,2018,2,장지역,646.0001967
8735684,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 677-25,서울특별시 강남구 테헤란로,127.0406526,37.50239076,2018,0,역삼역,169.6885872
8736083,스타벅스차병원사거리점,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 235-11,서울특별시 강남구 봉은사로,127.0353547,37.50804228,2018,2,언주역,243.0386113
25285303,스타벅스,11290,성북구,1129013500,종암동,서울특별시 성북구 종암동 3-1297,서울특별시 성북구 종암로28길,127.0342762,37.60130987,2018,3,월곡역,633.7626581
8732182,스타벅스뱅뱅사거리점,11680,강남구,1168011800,도곡동,서울특별시 강남구 도곡동 946-14,서울특별시 강남구 강남대로,127.032473,37.48855591,2018,5,양재역,426.2629013
8736085,스타벅스경복아파트점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 681,서울특별시 강남구 봉은사로,127.0403528,37.50902009,2018,2,선정릉역,412.7731989
8729351,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 809-10,서울특별시 강남구 강남대로,127.0255555,37.5031322,2018,9,신논현역,693.8400586
26261077,스타벅스,11710,송파구,1171010700,가락동,서울특별시 송파구 가락동 97-7,서울특별시 송파구 송파대로30길,127.1187684,37.49488077,2018,0,가락시장역,223.5201706
8725994,스타벅스,11290,성북구,1129013400,길음동,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로,127.0287256,37.60839154,2018,4,길음역,670.5119973
8732314,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 678-39,서울특별시 강남구 테헤란로,127.0392228,37.50187455,2018,2,역삼역,165.4684481
23447206,스타벅스석촌서호점,11710,송파구,1171010600,삼전동,서울특별시 송파구 삼전동 130-2,서울특별시 송파구 석촌호수로,127.0966117,37.50636412,2018,0,석촌고분역,352.3536538
25456593,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1445-4,서울특별시 서초구 서초중앙로,127.0169304,37.4846702,2018,9,남부터미널역,259.6595758
9780390,스타벅스월계이마트점,11350,노원구,1135010200,월계동,서울특별시 노원구 월계동 333-1,서울특별시 노원구 마들로3길,127.0619664,37.62650103,2018,0,광운대역,343.6029602
11516500,스타벅스,11290,성북구,1129012500,안암동5가,서울특별시 성북구 안암동5가 126-1,서울특별시 성북구 인촌로,127.0263415,37.58709834,2018,4,안암역,292.3323847
20025735,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 747-21,서울특별시 강남구 논현로,127.0388807,37.49591579,2018,3,동오역,478.4249724
23316524,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1317-23,서울특별시 서초구 서초대로,127.0259036,37.49809817,2018,5,강남역,766.0452352
20828526,스타벅스,11350,노원구,1135010300,공릉동,서울특별시 노원구 공릉동 126,서울특별시 노원구 화랑로,127.088969,37.62877599,2018,0,화랑대역,1104.210813
20005051,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 58-24,서울특별시 서초구 나루터로4길,127.013448,37.50958236,2018,0,반포역,201.6544684
20017739,스타벅스,11680,강남구,1168011800,도곡동,서울특별시 강남구 도곡동 467-17,서울특별시 강남구 언주로30길,127.0541634,37.48929922,2018,2,도곡역,171.163384
20424762,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 826-26,서울특별시 강남구 테헤란로2길,127.0296792,37.49648032,2018,3,강남역,466.3858573
20025300,스타벅스역삼역점,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 646-15,서울특별시 강남구 테헤란로,127.0351776,37.50070625,2018,1,동오역,158.1703565
25585003,스타벅스,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 5-1,서울특별시 강남구 도산대로,127.0233685,37.51734176,2018,0,신사역,479.2690266
20028687,스타벅스대치점,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 988-17,서울특별시 강남구 도곡로,127.0622213,37.49962651,2018,1,대치역,573.7853677
