,cafe_nm,gu_cd,gu_x,dong_cd,dong,gibun,road_x,lng,lat,year,bus_cnt,HubName,HubDist,cafe_cd,pop,pop_avg,gu_num,gu,apt_name,size,trade_year,month,day,trade,floor,byear,sizetrade,average_sizetrade
53,스타벅스삼성교점,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 1001-8,서울특별시 강남구 영동대로86길,127.0651728,37.50781348,2018,3,봉은사역,791.102333,1,1778436,2275593,1,강남구,개포우성1,127,201801,1,1,265000,11,1983,2086.614173,1929.110361
54,스타벅스,11650,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 37-7,서울특별시 서초구 강남대로,127.0206276,37.51153431,2018,2,신사역,913.5060927,1,2131041,2126310,1,서초구,강변,84,201801,1,6,137500,5,1987,1636.904762,1896.8602
55,스타벅스커리학동사거리점,11680,강남구,1168010800,논현동,서울특별시 강남구 논현동 93-2,서울특별시 강남구 도산대로,127.0379529,37.52239022,2018,2,압구정로데오역,835.8195348,1,1386987,2002405,1,강남구,e-편한세상,129,201803,3,30,88700,1,2005,687.5968992,1199.528213
56,스타벅스서울교대점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1623-1,서울특별시 서초구 서초중앙로,127.0151529,37.48743065,2018,3,남부터미널역,88.76229296,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
57,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1657-5,서울특별시 서초구 서초중앙로,127.014217,37.49238766,2018,2,교대역,394.3164355,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
58,스타벅스,11680,강남구,1168010100,역삼동,서울특별시 강남구 역삼동 708-6,서울특별시 강남구 테헤란로,127.0485159,37.5039411,2018,0,선릉역,91.61687365,1,3317112,2373123,1,강남구,(828-21),62,201802,2,26,48500,6,2005,782.2580645,1418.038794
59,스타벅스,11650,서초구,1165010700,반포동,서울특별시 서초구 반포동 52-6,서울특별시 서초구 서초중앙로,127.0115392,37.50165515,2018,5,사평역,366.1098587,1,2446508,1576875,1,서초구,APELBAUM,180,201808,8,10,148500,2,2005,825,2178.668139
60,스타벅스강북구청사거리점,11305,강북구,1130510300,수유동,서울특별시 강북구 수유동 174-13,서울특별시 강북구 도봉로,127.027328,37.64003344,2018,7,수유역,623.3057467,1,1994530,1630526,0,강북구,FIRSTVIEW,52,201803,3,19,23000,3,2010,442.3076923,460.7615411
61,스타벅스청담사거리점,11680,강남구,1168010400,청담동,서울특별시 강남구 청담동 6-5,서울특별시 강남구 도산대로,127.0468501,37.52375987,2018,2,강남구청역,616.7560619,1,1202416,1480536,1,강남구,강변상지리츠빌,171,201801,1,9,230000,4,2001,1345.02924,1690.052161
62,스타벅스방이역점,11710,송파구,1171011200,오금동,서울특별시 송파구 오금동 17-8,서울특별시 송파구 마천로,127.1266385,37.50854524,2018,3,방이역,119.2263588,1,946502,966751,1,송파구,그랑밸리(64),76,201811,11,10,38500,2,2007,506.5789474,883.5990464
63,스타벅스,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 583-3,서울특별시 강남구 논현로,127.0278969,37.52404691,2018,2,압구정역,67.52155214,1,1943382,1819852,1,강남구,Ruden House,84,201803,3,12,79000,1,2007,940.4761905,1089.923219
64,스타벅스서초파라곤점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1327-29,서울특별시 서초구 서초대로74길,127.0274035,37.49493882,2018,3,강남역,409.6786299,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
65,스타벅스신압구정점,11680,강남구,1168010700,신사동,서울특별시 강남구 신사동 639-7,서울특별시 강남구 언주로174길,127.03642,37.52810841,2018,2,압구정로데오역,453.3403442,1,1943382,1819852,1,강남구,Ruden House,84,201803,3,12,79000,1,2007,940.4761905,1089.923219
66,스타벅스,11650,서초구,1165010200,양재동,서울특별시 서초구 양재동 14-4,서울특별시 서초구 강남대로,127.0368501,37.48232032,2018,4,양재역,410.5648354,1,854228,966158,1,서초구,광정,75,201803,3,10,49000,3,2004,653.3333333,897.161169
67,스타벅스올림픽공원남문점,11710,송파구,1171011100,방이동,서울특별시 송파구 방이동 181,서울특별시 송파구 위례성대로,127.122997,37.51332992,2018,1,방이역,627.3547002,1,2698844,1780476,1,송파구,AQUADCASAS,59,201810,10,6,44000,3,2004,745.7627119,1060.671256
68,스타벅스,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1307-19,서울특별시 서초구 서초대로77길,127.0254816,37.50011306,2018,9,신논현역,929.5735097,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
69,스타벅스,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 908-10,서울특별시 서초구 방배로,126.9976309,37.48198508,2018,10,방배역,93.67256625,1,1405194,1765567,1,서초구,SK리더스뷰(파스텔시티),84,201802,2,12,94000,15,2006,1119.047619,1130.640017
70,스타벅스,11710,송파구,1171010100,잠실동,서울특별시 송파구 잠실동 40,서울특별시 송파구 올림픽로,127.0944673,37.51066377,2018,0,잠실새내역,473.2514172,1,2768448,2816561,1,송파구,갤러리아팰리스,176,201801,1,4,161000,7,2005,914.7727273,1920.396177
71,스타벅스예술의전당점,11650,서초구,1165010800,서초동,서울특별시 서초구 서초동 1451-95,서울특별시 서초구 남부순환로323길,127.0134831,37.48112734,2018,4,남부터미널역,634.9648466,1,1760812,1569786,1,서초구,(1617-21),82,201806,6,18,66500,5,2007,810.9756098,1184.745723
72,스타벅스학여울점,11680,강남구,1168010600,대치동,서울특별시 강남구 대치동 994-10,서울특별시 강남구 영동대로,127.0685071,37.49799127,2018,2,학여울역,324.7328806,1,1778436,2275593,1,강남구,개포우성1,127,201801,1,1,265000,11,1983,2086.614173,1929.110361
73,스타벅스사당로데오점,11650,서초구,1165010100,방배동,서울특별시 서초구 방배동 444-7,서울특별시 서초구 방배천로,126.9821471,37.47733842,2018,8,사당역,262.1043177,1,1405194,1765567,1,서초구,SK리더스뷰(파스텔시티),84,201802,2,12,94000,15,2006,1119.047619,1130.640017
