year,road,pop,gu,dong,pop_avg
2018,보국문로16길,869699,성북구,정릉동,828684.3
2018,동소문로6길,1380640,성북구,동소문동2가,1863861
2018,동소문로2길,1613372,성북구,동소문동2가,1863861
2018,동소문로26가길,3578610,성북구,동선동3가,3365999.5
2018,동소문로15길,3089502,성북구,동소문동6가,3043576.75
2018,동소문로13길,3233957,성북구,동소문동6가,3043576.75
2018,돌곶이로8길,982956,성북구,석관동,1264947.9
2018,돌곶이로41길,664592,성북구,장위동,833802.95
2018,돌곶이로28길,985465,성북구,장위동,833802.95
2018,돌곶이로27길,1182428,성북구,장위동,833802.95
2018,돌곶이로22길,1337466,성북구,석관동,1264947.9
2018,돌곶이로14길,1207096,성북구,석관동,1264947.9
2018,길음로7길,1056933,성북구,길음동,1261111.75
2018,창경궁로35길,1573064,성북구,성북동1가,1535164.25
2018,풍성로25길,1898841,송파구,풍납동,1927959.5
2018,오금로46길,1360118,송파구,가락동,1462972.857
2018,오금로36길,1262190,송파구,가락동,1462972.857
2018,오금로11길,2801319,송파구,방이동,1780476.333
2018,양재대로72길,1032807,송파구,오금동,966751
2018,양재대로71길,1245414,송파구,방이동,1780476.333
2018,양재대로64길,1966585,송파구,가락동,1462972.857
2018,양재대로62길,1324234,송파구,가락동,1462972.857
2018,송파대로30길,1952726,송파구,가락동,1462972.857
2018,송이로36길,1683113,송파구,문정동,1597754.5
2018,송이로32길,1626564,송파구,문정동,1597754.5
2018,송이로23길,1536865,송파구,가락동,1462972.857
2018,삼전로13길,2938747,송파구,잠실동,2816561
2018,백제고분로50길,1505610,송파구,방이동,1780476.333
2018,백제고분로46길,1776958,송파구,송파동,1728181.25
2018,백제고분로45길,2107235,송파구,송파동,1728181.25
2018,백제고분로42길,1707609,송파구,송파동,1728181.25
2018,백제고분로39길,1356213,송파구,석촌동,1234030.583
2018,백제고분로34길,931106,송파구,석촌동,1234030.583
2018,백제고분로33길,1443612,송파구,석촌동,1234030.583
2018,백제고분로32길,880798,송파구,삼전동,1474302.313
2018,백제고분로31길,2283551,송파구,삼전동,1474302.313
2018,백제고분로22길,1038265,송파구,삼전동,1474302.313
2018,백제고분로21길,2043395,송파구,삼전동,1474302.313
2018,마천로51길,1103888,송파구,마천동,1034683
2018,동남로20길,1622742,송파구,가락동,1462972.857
2018,거마로20길,1216115,송파구,마천동,1034683
2018,학동로77길,1243392,강남구,청담동,1480536.292
2018,학동로6길,1448787,강남구,논현동,2002405.05
2018,학동로56길,2787814,강남구,삼성동,1542359.75
2018,학동로38길,1555272,강남구,논현동,2002405.05
2018,테헤란로81길,1647361,강남구,삼성동,1542359.75
2018,일원로9길,1141641,강남구,일원동,1175477.875
2018,일원로3길,1206769,강남구,일원동,1175477.875
2018,영동대로65길,1842789,강남구,대치동,2275592.792
2018,영동대로112길,1125844,강남구,삼성동,1542359.75
2018,언주로81길,3353102,강남구,역삼동,2373122.688
2018,압구정로2길,2025871,강남구,신사동,1819852.5
2018,선릉로18길,177437,강남구,개포동,626308.1786
2018,선릉로146길,1568045,강남구,청담동,1480536.292
2018,선릉로133길,2541944,강남구,논현동,2002405.05
2018,선릉로132길,2799735,강남구,청담동,1480536.292
2018,선릉로121길,2489327,강남구,논현동,2002405.05
2018,삼성로75길,3264777,강남구,대치동,2275592.792
2018,삼성로69길,2626737,강남구,대치동,2275592.792
2018,삼성로64길,1727259,강남구,대치동,2275592.792
2018,삼성로63길,2916267,강남구,대치동,2275592.792
2018,삼성로57길,2398407,강남구,대치동,2275592.792
2018,삼성로147길,1407316,강남구,청담동,1480536.292
2018,삼성로115길,1233617,강남구,삼성동,1542359.75
2018,봉은사로68길,1623362,강남구,삼성동,1542359.75
2018,봉은사로57길,1396470,강남구,삼성동,1542359.75
2018,봉은사로43길,2301714,강남구,논현동,2002405.05
2018,봉은사로29길,2790782,강남구,논현동,2002405.05
2018,봉은사로109길,1087668,강남구,삼성동,1542359.75
2018,도산대로89길,758187,강남구,청담동,1480536.292
2018,도산대로81길,1066033,강남구,청담동,1480536.292
2018,도산대로50길,2234606,강남구,논현동,2002405.05
2018,도산대로38길,1238029,강남구,논현동,2002405.05
2018,도산대로30길,1249998,강남구,논현동,2002405.05
2018,도산대로23길,1638233,강남구,신사동,1819852.5
2018,도산대로15길,1780537,강남구,신사동,1819852.5
2018,도곡로37길,2082826,강남구,역삼동,2373122.688
2018,논현로8길,483446,강남구,개포동,626308.1786
2018,논현로63길,1690185,강남구,역삼동,2373122.688
2018,논현로28길,1214462,강남구,도곡동,1288200.667
2018,논현로26길,1301185,강남구,도곡동,1288200.667
2018,논현로159길,1958383,강남구,신사동,1819852.5
2018,논현로139길,1815302,강남구,논현동,2002405.05
2018,논현로123길,969190,강남구,논현동,2002405.05
2018,논현로115길,2609812,강남구,논현동,2002405.05
2018,논현로10길,793967,강남구,개포동,626308.1786
2018,논현로106길,2401690,강남구,역삼동,2373122.688
2018,남부순환로365길,1442298,강남구,도곡동,1288200.667
2018,개포로82길,148539,강남구,개포동,626308.1786
2018,개포로28길,828273,강남구,개포동,626308.1786
2018,개포로20길,1092667,강남구,개포동,626308.1786
2018,개포로17길,1026907,강남구,개포동,626308.1786
2018,강남대로140길,2135404,강남구,논현동,2002405.05
2018,강남대로136길,2138483,강남구,논현동,2002405.05
2018,강남대로118길,1670881,강남구,논현동,2002405.05
2018,서초중앙로8길,1832546,서초구,서초동,1569786.063
2018,방배중앙로21길,1570040,서초구,방배동,1765567.156
2018,효령로72길,1447294,서초구,서초동,1569786.063
2018,효령로34길,945420,서초구,방배동,1765567.156
2018,효령로31길,1631849,서초구,방배동,1765567.156
2018,효령로23길,1686806,서초구,방배동,1765567.156
2018,청두곶길,1937329,서초구,방배동,1765567.156
2018,주흥길,2427107,서초구,반포동,1576875.286
2018,주흥15길,2314974,서초구,반포동,1576875.286
2018,언남길,886089,서초구,양재동,966158.4
2018,신반포로45길,2161369,서초구,잠원동,2126309.5
2018,서초대로8길,1538209,서초구,방배동,1765567.156
2018,서초대로64길,1417138,서초구,서초동,1569786.063
2018,서초대로4길,3422349,서초구,방배동,1765567.156
2018,서초대로25길,1856874,서초구,방배동,1765567.156
2018,서초대로23길,1707348,서초구,방배동,1765567.156
2018,서초대로15길,1595376,서초구,방배동,1765567.156
2018,사평대로57길,2924892,서초구,반포동,1576875.286
2018,사평대로26길,592348,서초구,반포동,1576875.286
2018,사평대로22길,856565,서초구,반포동,1576875.286
2018,사임당로17길,2740070,서초구,서초동,1569786.063
2018,방배로42길,1340394,서초구,방배동,1765567.156
2018,방배로35길,1706050,서초구,방배동,1765567.156
2018,방배로18길,1352909,서초구,방배동,1765567.156
2018,반포대로9길,924822,서초구,서초동,1569786.063
2018,바우뫼로39길,1370132,서초구,양재동,966158.4
2018,마방로2길,727237,서초구,양재동,966158.4
2018,방배천로4안길,2386986,서초구,방배동,1765567.156
2018,동산로19길,1002148,서초구,양재동,966158.4
2018,동산로10길,738100,서초구,양재동,966158.4
2018,동광로39길,793708,서초구,반포동,1576875.286
2018,동광로1길,1123669,서초구,방배동,1765567.156
2018,동광로12길,3891776,서초구,방배동,1765567.156
2018,논현로27길,1251722,서초구,양재동,966158.4
2018,논현로1길,749150,서초구,양재동,966158.4
2018,남부순환로339길,891963,서초구,서초동,1569786.063
2018,남부순환로325길,1780901,서초구,서초동,1569786.063
2018,남부순환로317길,1567857,서초구,서초동,1569786.063
2018,고무래로8길,988151,서초구,반포동,1576875.286
2018,강남대로8길,808419,서초구,양재동,966158.4
2018,강남대로34길,1684994,서초구,양재동,966158.4
2018,강남대로23길,535085,서초구,양재동,966158.4
2018,한글비석로44길,1437287,노원구,상계동,2196320.214
2018,한글비석로24길,2422216,노원구,상계동,2196320.214
2018,한글비석로22길,2079090,노원구,상계동,2196320.214
2018,석계로1길,1963122,노원구,월계동,1069711
2018,상계로9가길,3185417,노원구,상계동,2196320.214
2018,상계로1길,3890031,노원구,상계동,2196320.214
2018,상계로12길,3052311,노원구,상계동,2196320.214
2018,동일로242길,1261941,노원구,상계동,2196320.214
2018,동일로192길,4112533,노원구,공릉동,3356690.875
2018,동일로173가길,3294725,노원구,공릉동,3356690.875
2018,공릉로58길,746999,노원구,하계동,768858.5
2018,해등로16길,1380136,도봉구,창동,1391477.813
2018,우이천로4다길,631277,도봉구,창동,1391477.813
2018,우이천로32길,813852,도봉구,쌍문동,1562427.875
2018,시루봉로23길,616826,도봉구,방학동,1190994.818
2018,삼양로144길,526249,도봉구,쌍문동,1562427.875
2018,방학로6가길,1653791,도봉구,방학동,1190994.818
2018,방학로5길,1674622,도봉구,방학동,1190994.818
2018,방학로15길,502254,도봉구,방학동,1190994.818
2018,방학로10길,1186851,도봉구,방학동,1190994.818
2018,도봉산길,321499,도봉구,도봉동,335250.2917
2018,도봉산4길,143468,도봉구,도봉동,335250.2917
2018,도봉로181길,476958,도봉구,도봉동,335250.2917
2018,도봉로169나길,255714,도봉구,도봉동,335250.2917
2018,도봉로156길,648517,도봉구,도봉동,335250.2917
2018,도봉로152가길,327281,도봉구,도봉동,335250.2917
2018,도봉로147길,1248408,도봉구,방학동,1190994.818
2018,도봉로143길,1056680,도봉구,방학동,1190994.818
2018,도봉로114길,3046445,도봉구,창동,1391477.813
2018,도봉로109길,2300980,도봉구,쌍문동,1562427.875
2018,도당로29길,1108165,도봉구,방학동,1190994.818
2018,도당로19길,961592,도봉구,방학동,1190994.818
2018,도당로13바길,1181692,도봉구,방학동,1190994.818
2018,도당로13가길,1359977,도봉구,방학동,1190994.818
2018,덕릉로60길,607729,노원구,월계동,1069711
2018,노해로63다길,752251,도봉구,창동,1391477.813
2018,노해로60길,2877739,도봉구,쌍문동,1562427.875
2018,한천로140길,2187369,강북구,수유동,1630526.25
2018,한천로139가길,3149369,강북구,수유동,1630526.25
2018,한천로132길,3331059,강북구,번동,2258421.714
2018,한천로130길,1829373,강북구,번동,2258421.714
2018,한천로124나길,2176959,강북구,번동,2258421.714
2018,한천로109길,841152,강북구,번동,2258421.714
2018,인수봉로79길,499617,강북구,수유동,1630526.25
2018,인수봉로72길,1167957,강북구,수유동,1630526.25
2018,인수봉로56길,1092119,강북구,수유동,1630526.25
2018,오패산로67길,4111741,강북구,번동,2258421.714
2018,오패산로52길,1135434,강북구,미아동,1682818.618
2018,오패산로30길,1475187,강북구,미아동,1682818.618
2018,수유로12길,2551961,강북구,수유동,1630526.25
2018,솔샘로65길,1498873,강북구,미아동,1682818.618
2018,솔매로50길,2359373,강북구,미아동,1682818.618
2018,솔매로45길,1503486,강북구,미아동,1682818.618
2018,솔매로41길,2037167,강북구,미아동,1682818.618
2018,삼양로93길,1309377,강북구,수유동,1630526.25
2018,삼양로77길,979304,강북구,수유동,1630526.25
2018,삼양로54길,1830864,강북구,미아동,1682818.618
2018,삼양로41길,2864956,강북구,미아동,1682818.618
2018,삼양로27길,1989429,강북구,미아동,1682818.618
2018,삼양로24길,1621022,강북구,미아동,1682818.618
2018,삼양로20길,1362739,강북구,미아동,1682818.618
2018,삼각산로28길,3177532,강북구,수유동,1630526.25
2018,도봉로99길,1430088,강북구,수유동,1630526.25
2018,도봉로8길,1854084,강북구,미아동,1682818.618
2018,도봉로76길,2797890,강북구,미아동,1682818.618
2018,도봉로67길,1464648,강북구,미아동,1682818.618
2018,도봉로45길,1869309,강북구,미아동,1682818.618
2018,도봉로18길,1245111,강북구,미아동,1682818.618
2018,도봉로13길,1491844,강북구,미아동,1682818.618
2018,덕릉로41길,4058306,강북구,번동,2258421.714
2018,덕릉로40길,818799,강북구,번동,2258421.714
2018,노해로33길,1344522,강북구,수유동,1630526.25
2018,노해로23길,1416876,강북구,수유동,1630526.25
2018,노해로17길,2098946,강북구,수유동,1630526.25
2018,화랑로40길,1937249,성북구,석관동,1264947.9
2018,화랑로1길,2076047,성북구,하월곡동,1725981.958
2018,화랑로19길,1157552,성북구,상월곡동,1318110.25
2018,화랑로14길,1469347,성북구,하월곡동,1725981.958
2018,화랑로13길,1645208,성북구,하월곡동,1725981.958
2018,한천로76길,1696593,성북구,석관동,1264947.9
2018,한천로101가길,565144,성북구,장위동,833802.95
2018,창경궁로43길,1433444,성북구,성북동1가,1535164.25
2018,지봉로20길,1550307,성북구,보문동3가,1430430.5
2018,종암로5길,866276,성북구,종암동,1037639.05
2018,종암로24가길,1057108,성북구,종암동,1037639.05
2018,종암로21길,1264005,성북구,종암동,1037639.05
2018,종암로19길,1238581,성북구,종암동,1037639.05
2018,종암로16길,1469488,성북구,종암동,1037639.05
2018,정릉로8길,204379,성북구,정릉동,828684.3
2018,정릉로27길,1693861,성북구,정릉동,828684.3
2018,정릉로26길,738118,성북구,정릉동,828684.3
2018,장위로50길,787804,성북구,장위동,833802.95
2018,장월로1길,1340708,성북구,상월곡동,1318110.25
2018,인촌로6길,1722259,성북구,보문동,2223417.833
